borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Lambeth,23,6,207,5,45,7,B222,BU,N,2012,2012-09-25,51.463880291000002,-0.10117376300000001
Lambeth,12,10,148,2,30,5,B222,BU,N,2012,2012-10-15,51.454616708000003,-0.102767259
Lambeth,14,19,297,4,78,10,C,CU,N,2012,2012-09-28,51.460351188999994,-0.14246227
Lambeth,33,21,174,6,35,17,C,CU,N,2012,2012-10-09,51.472361643999996,-0.10737325199999999
Lambeth,12,3,137,0,15,3,C,CU,E,2012,2012-05-11,51.456974215000002,-0.13649618599999999
Lambeth,0,0,10,0,2,0,U,UU,N,2012,2012-05-15,51.423724426000007,-0.13623807300000002
Lambeth,0,0,10,0,3,0,U,UU,N,2012,2012-10-05,51.429040663999999,-0.136338233
Lambeth,0,1,9,0,2,0,U,UU,N,2012,2012-07-04,51.461450233999997,-0.12394794099999999
Lambeth,0,0,10,0,4,0,U,UU,W,2012,2012-05-02,51.489249058999995,-0.11626739300000001
Lambeth,3,3,65,0,6,1,U,UU,E,2012,2012-10-23,51.43168549,-0.125685408
Lambeth,2,0,13,0,2,0,U,UU,E,2012,2012-03-30,51.440497466000004,-0.135785567
