,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
24264,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,7,81,35,265,2.0,104,20.0,426.0
24265,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,8,141,37,311,7.0,76,12.0,443.0
24266,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,9,58,14,240,6.0,67,8.0,335.0
24267,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,10,26,6,173,6.0,61,17.0,263.0
24268,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,11,9,9,151,4.0,42,5.0,211.0
24269,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,12,14,7,128,5.0,38,6.0,184.0
24270,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,13,17,6,169,1.0,34,11.0,221.0
24271,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,14,18,12,161,6.0,40,16.0,235.0
24272,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,15,17,6,170,6.0,35,4.0,221.0
24273,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,16,15,11,169,7.0,38,9.0,234.0
24274,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,17,18,12,202,2.0,26,10.0,252.0
24275,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2013,2013-09-24,18,26,4,228,1.0,36,2.0,271.0
24276,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,7,8,4,87,0.0,25,9.0,125.0
24277,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,8,16,5,93,5.0,32,11.0,146.0
24278,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,9,5,5,103,2.0,24,10.0,144.0
24279,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,10,7,3,110,0.0,39,12.0,164.0
24280,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,11,4,2,108,1.0,38,15.0,164.0
24281,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,12,9,3,115,2.0,45,3.0,168.0
24282,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,13,7,8,143,2.0,39,6.0,198.0
24283,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,14,15,9,154,5.0,70,13.0,251.0
24284,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,15,12,12,205,2.0,57,12.0,288.0
24285,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,16,40,11,249,9.0,38,9.0,316.0
24286,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,17,89,36,241,3.0,54,14.0,348.0
24287,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2013,2013-09-24,18,101,33,236,1.0,40,5.0,315.0
24288,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,7,46,17,185,1.0,107,0.0,310.0
24289,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,8,94,23,257,4.0,58,1.0,343.0
24290,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,9,37,14,173,2.0,51,0.0,240.0
24291,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,10,11,2,134,1.0,47,3.0,187.0
24292,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,11,7,5,114,3.0,41,6.0,169.0
24293,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,12,12,7,121,2.0,29,6.0,165.0
24294,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,13,10,5,137,5.0,36,8.0,191.0
24295,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,14,6,1,140,2.0,18,1.0,162.0
24296,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,15,4,3,146,1.0,22,3.0,175.0
24297,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,16,7,5,127,0.0,27,0.0,159.0
24298,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,17,11,2,105,0.0,19,0.0,126.0
24299,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2013,2013-10-14,18,15,1,89,0.0,11,0.0,101.0
24300,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,7,3,2,105,1.0,18,1.0,127.0
24301,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,8,19,4,114,1.0,23,2.0,144.0
24302,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,9,7,2,87,5.0,27,2.0,123.0
24303,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,10,5,0,91,3.0,34,2.0,130.0
24304,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,11,2,3,98,4.0,29,9.0,143.0
24305,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,12,4,6,109,1.0,33,6.0,155.0
24306,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,13,7,4,132,2.0,28,12.0,178.0
24307,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,14,14,7,138,3.0,33,3.0,184.0
24308,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,15,24,13,141,6.0,67,1.0,228.0
24309,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,16,31,18,133,1.0,48,1.0,201.0
24310,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,17,42,11,114,0.0,29,0.0,154.0
24311,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2013,2013-10-14,18,21,9,102,0.0,21,0.0,132.0
24312,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,7,14,52,163,0.0,43,7.0,265.0
24313,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,8,4,29,217,2.0,63,12.0,323.0
24314,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,9,6,21,209,3.0,56,11.0,300.0
24315,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,10,8,0,101,0.0,26,8.0,135.0
24316,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,11,7,0,112,0.0,29,7.0,148.0
24317,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,12,4,2,78,0.0,28,2.0,110.0
24318,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,13,8,6,82,0.0,18,2.0,108.0
24319,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,14,2,4,73,0.0,30,0.0,107.0
24320,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,15,21,6,118,3.0,32,4.0,163.0
24321,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,16,17,5,114,1.0,22,0.0,142.0
24322,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,17,15,10,112,0.0,13,2.0,137.0
24323,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,E,2013,2013-05-10,18,7,4,128,0.0,12,4.0,148.0
24324,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,7,6,8,72,0.0,15,14.0,109.0
24325,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,8,5,11,171,3.0,19,10.0,214.0
24326,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,9,7,10,173,1.0,29,12.0,225.0
24327,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,10,5,6,123,0.0,27,11.0,167.0
24328,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,11,2,4,116,0.0,23,10.0,153.0
24329,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,12,8,2,114,0.0,32,7.0,155.0
24330,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,13,2,6,115,0.0,40,4.0,165.0
24331,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,14,8,4,110,0.0,26,4.0,144.0
24332,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,15,9,7,168,3.0,18,5.0,201.0
24333,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,16,4,16,158,0.0,36,0.0,210.0
24334,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,17,16,28,178,0.0,25,0.0,231.0
24335,London,E09000022,Lambeth,942735,51.456974215,-0.136496186,C,CU,W,2013,2013-05-10,18,24,2,116,0.0,12,2.0,132.0
24336,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,7,1,0,12,0.0,7,2.0,21.0
24337,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,8,0,0,9,0.0,5,1.0,15.0
24338,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,9,2,0,7,0.0,3,0.0,10.0
24339,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,10,0,0,8,0.0,4,0.0,12.0
24340,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,11,1,0,6,0.0,4,0.0,10.0
24341,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,12,1,1,6,0.0,2,0.0,9.0
24342,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,13,0,0,8,0.0,2,0.0,10.0
24343,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,14,1,1,14,0.0,4,1.0,20.0
24344,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,15,4,1,17,0.0,2,0.0,20.0
24345,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,16,1,0,13,0.0,3,1.0,17.0
24346,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,17,4,1,9,0.0,4,0.0,14.0
24347,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,N,2013,2013-05-14,18,5,0,10,0.0,5,0.0,15.0
24348,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,7,1,0,11,0.0,5,1.0,17.0
24349,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,8,2,0,8,0.0,4,1.0,13.0
24350,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,9,0,0,10,0.0,2,0.0,12.0
24351,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,10,0,0,9,0.0,5,0.0,14.0
24352,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,11,0,0,11,0.0,4,0.0,15.0
24353,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,12,0,0,9,0.0,5,2.0,16.0
24354,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,13,2,0,11,0.0,8,2.0,21.0
24355,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,14,1,0,13,0.0,3,0.0,16.0
24356,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,15,0,0,10,0.0,4,0.0,14.0
24357,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,16,2,1,11,0.0,2,1.0,15.0
24358,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,17,1,1,14,0.0,3,0.0,18.0
24359,London,E09000022,Lambeth,942739,51.423724426,-0.136238073,U,UU,S,2013,2013-05-14,18,3,0,11,0.0,5,1.0,17.0
24360,London,E09000022,Lambeth,942740,51.429040664,-0.136338233,U,UU,N,2013,2013-10-04,7,2,3,13,0.0,8,0.0,24.0
24361,London,E09000022,Lambeth,942740,51.429040664,-0.136338233,U,UU,N,2013,2013-10-04,8,3,1,15,0.0,4,0.0,20.0
24362,London,E09000022,Lambeth,942740,51.429040664,-0.136338233,U,UU,N,2013,2013-10-04,9,2,0,11,0.0,6,1.0,18.0
24363,London,E09000022,Lambeth,942740,51.429040664,-0.136338233,U,UU,N,2013,2013-10-04,10,3,2,8,0.0,3,0.0,13.0
24364,London,E09000022,Lambeth,942740,51.429040664,-0.136338233,U,UU,N,2013,2013-10-04,11,1,1,6,0.0,5,0.0,12.0
