borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Lewisham,9,4,313,11,35,16,B212,BU,N,2013,2013-09-18,51.471470068999999,0.012576993999999999
Lewisham,14,7,361,16,60,14,B236,BU,E,2013,2013-09-12,51.456499583999999,-0.021908432999999998
Lewisham,2,2,179,5,37,3,C,CU,N,2013,2013-06-04,51.467721728000001,-0.0091128890000000008
Lewisham,8,5,239,6,63,7,C,CU,E,2013,2013-04-24,51.454013761999995,-0.036121594
Lewisham,11,14,702,35,133,14,C,CU,E,2013,2013-06-07,51.467441565000001,0.0073172649999999999
Lewisham,4,1,138,0,32,1,C,CU,N,2013,2013-05-17,51.463466924999999,-0.032476547000000001
Lewisham,2,1,14,0,3,0,U,UU,E,2013,2013-10-15,51.445376223999993,-0.043917880999999999
Lewisham,0,0,5,0,0,0,U,UU,N,2013,2013-06-12,51.431412098000003,-0.061332114000000007
Lewisham,20,15,345,10,131,63,U,UU,N,2013,2013-09-13,51.485199506000001,-0.053866400999999994
Lewisham,1,0,21,0,2,0,U,UU,N,2013,2013-04-15,51.479290265000003,-0.035468015999999998
Lewisham,0,0,10,0,2,0,U,UU,N,2013,2013-06-11,51.472095760000002,-0.026878369999999999
Lewisham,0,0,61,0,7,0,U,UU,E,2013,2013-06-19,51.426899916000004,0.015307474
Lewisham,0,0,17,0,3,0,U,UU,E,2013,2013-09-19,51.489875623000003,-0.049533087999999996
Lewisham,1,0,5,0,0,0,U,UU,E,2013,2013-10-11,51.466731328999998,-0.025526068999999998
Lewisham,9,10,276,5,67,18,B207,BU,E,2013,2013-06-05,51.478319721999995,-0.039268437000000003
