,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
46128,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,7,11,1,280,19.0,61,1.0,362.0
46129,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,8,3,2,333,12.0,37,1.0,385.0
46130,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,9,4,4,189,15.0,42,6.0,256.0
46131,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,10,4,1,191,13.0,53,7.0,265.0
46132,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,11,3,4,175,13.0,39,6.0,237.0
46133,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,12,5,2,192,10.0,41,3.0,248.0
46134,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,13,3,1,188,14.0,35,6.0,244.0
46135,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,14,6,2,190,14.0,51,0.0,257.0
46136,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,15,6,2,222,14.0,42,6.0,286.0
46137,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,16,6,5,265,19.0,66,2.0,357.0
46138,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,17,12,10,324,12.0,44,3.0,393.0
46139,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,N,2016,2016-09-21,18,14,6,380,16.0,41,0.0,443.0
46140,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,S,2016,2016-09-21,7,10,11,349,16.0,155,16.0,547.0
46141,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,S,2016,2016-09-21,8,11,19,416,13.0,94,22.0,564.0
46142,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,S,2016,2016-09-21,9,13,15,422,19.0,130,26.0,612.0
46143,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,S,2016,2016-09-21,10,5,12,335,12.0,136,32.0,527.0
46144,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,S,2016,2016-09-21,11,9,6,328,15.0,81,13.0,443.0
46145,London,E09000023,Lewisham,942755,51.471470069,0.012576994,B212,BU,S,2016,2016-09-21,12,9,4,287,13.0,83,11.0,398.0
