,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
27408,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,7,9,13,731,27,53,10,834
27409,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,8,14,20,786,30,67,20,923
27410,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,9,6,13,741,25,59,26,864
27411,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,10,4,9,673,27,74,31,814
27412,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,11,3,7,655,23,77,38,800
27413,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,12,4,6,617,18,72,28,741
27414,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,13,2,5,546,15,66,26,658
27415,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,14,5,9,573,17,75,28,702
27416,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,15,6,12,609,21,69,32,743
27417,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,16,10,9,678,23,72,37,819
27418,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,17,13,15,753,27,58,16,869
27419,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,N,2013,22/10/2013,18,19,27,724,25,42,11,829
27420,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,7,6,7,632,18,63,20,740
27421,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,8,10,12,684,21,83,25,825
27422,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,9,7,9,705,23,75,31,843
27423,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,10,9,7,676,17,69,33,802
27424,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,11,5,6,623,15,73,39,756
27425,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,12,2,3,583,14,65,34,699
27426,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,13,6,8,511,15,52,30,616
27427,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,14,4,7,476,17,66,21,587
27428,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,15,7,13,523,25,57,30,648
27429,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,16,11,17,668,27,77,29,818
27430,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,17,19,21,739,29,53,11,853
27431,London,E09000002,Barking and Dagenham,6658,51.56040608,0.148079057,A124,PU,S,2013,22/10/2013,18,33,16,687,24,38,7,772
29340,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,7,4,7,646,36,140,24,853
29341,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,8,3,3,906,18,96,33,1056
29342,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,9,0,0,937,17,88,23,1065
29343,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,10,1,0,891,22,76,19,1008
29344,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,11,0,2,856,24,85,19,986
29345,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,12,0,1,778,19,96,14,908
29346,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,13,0,3,760,18,107,12,900
29347,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,14,1,0,720,26,121,9,876
29348,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,15,4,2,756,28,98,11,895
29349,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,16,2,8,849,30,110,20,1017
29350,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,17,1,6,928,26,84,14,1058
29351,London,E09000002,Barking and Dagenham,17865,51.56125176,0.151004473,A124,PU,E,2013,07/05/2013,18,0,2,872,18,69,6,967
