,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
72,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,7,3,95,2355,10,636,214,3310
73,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,8,2,74,2696,5,384,160,3319
74,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,9,0,48,2123,6,437,253,2867
75,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,10,11,32,2215,6,604,147,3004
76,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,11,4,27,2794,18,729,209,3777
77,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,12,1,30,2639,10,537,160,3376
78,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,13,0,35,2283,9,652,169,3148
79,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,14,5,18,2308,11,795,171,3303
80,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,15,0,39,2421,9,404,104,2977
81,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,16,3,47,1948,16,346,111,2468
82,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,17,1,45,1404,29,1104,50,2632
83,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,E,2010,01/09/2010,18,0,8,1219,8,459,43,1737
84,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,7,9,68,1950,7,395,121,2541
85,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,8,1,91,1958,4,1322,163,3538
86,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,9,1,43,3070,36,2736,304,6189
87,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,10,0,34,3359,17,3211,210,6831
88,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,11,0,27,2685,2,1203,189,4106
89,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,12,0,34,2590,3,370,176,3173
90,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,13,0,49,3354,5,364,154,3926
91,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,14,1,39,1974,3,385,153,2554
92,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,15,0,31,2285,5,555,169,3045
93,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,16,0,31,1872,3,276,84,2266
94,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,17,10,25,2337,0,356,120,2838
95,London,E09000003,Barnet,6076,51.58907824,-0.204256905,A1,PU,W,2010,01/09/2010,18,0,36,1560,0,211,98,1905
96,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,7,0,13,3108,13,98,63,3295
97,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,8,2,5,2983,17,109,107,3221
98,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,9,0,16,1626,16,169,148,1975
99,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,10,0,8,936,8,157,90,1199
100,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,11,0,14,1252,11,227,130,1634
101,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,12,0,14,1642,12,292,136,2096
102,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,13,1,23,2200,12,269,166,2670
103,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,14,1,16,2531,27,358,161,3093
104,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,15,0,35,3462,20,535,144,4196
105,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,16,0,49,3575,32,629,92,4377
106,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,17,0,74,4168,24,308,63,4637
107,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,E,2010,17/05/2010,18,4,37,1744,20,260,137,2198
108,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,7,2,52,1162,7,307,112,1640
109,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,8,1,74,2128,3,462,236,2903
110,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,9,0,45,1506,24,241,150,1966
111,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,10,0,26,1334,18,336,156,1870
112,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,11,0,23,1092,26,220,164,1525
113,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,12,0,16,1267,13,219,125,1640
114,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,13,0,14,1155,12,212,120,1513
115,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,14,2,13,1096,13,205,132,1459
116,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,15,0,12,1303,20,224,111,1670
117,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,16,0,14,1879,35,202,101,2231
118,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,17,0,24,1936,22,155,64,2201
119,London,E09000003,Barnet,6077,51.64084841,-0.256264113,A1,PR,W,2010,17/05/2010,18,0,23,1167,14,185,108,1497
