borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Barnet,0,63,2358,19,591,204,A1,PU,E,2012,26/09/2012,51.589078239999999,-0.20425690499999999
Barnet,0,35,1658,18,318,149,A1,PR,N,2012,27/03/2012,51.640848409999997,-0.25626411300000002
Barnet,2,51,1494,28,302,98,A41,PU,N,2012,19/09/2012,51.573101739999998,-0.21210202399999997
Barnet,5,8,243,23,64,22,A407,PU,E,2012,26/06/2012,51.562995530000002,-0.19807079499999999
Barnet,0,43,1675,14,477,202,A406,PU,E,2012,28/05/2012,51.571936870000002,-0.23017136800000002
Barnet,2,24,1270,15,212,99,A41,PU,N,2012,10/07/2012,51.595550529999997,-0.23374381299999999
Barnet,0,56,1847,18,425,169,A1,PU,E,2012,21/03/2012,51.589618889999997,-0.198461147
Barnet,7,11,558,23,108,32,A5,PU,N,2012,29/03/2012,51.574914990000003,-0.23685287199999999
Barnet,1,35,1502,41,283,93,A41,PU,N,2012,11/05/2012,51.581049440000001,-0.22622345600000002
Barnet,0,53,2778,40,673,323,A406,PU,E,2012,23/03/2012,51.574675560000003,-0.22098769500000001
Barnet,0,37,1648,17,418,145,A406,PU,E,2012,15/05/2012,51.605830879999999,-0.159550095
Barnet,13,11,506,23,68,19,A598,PU,N,2012,16/04/2012,51.609324870000002,-0.18179451899999999
Barnet,11,18,745,32,113,37,A1000,PU,N,2012,01/06/2012,51.639693319999999,-0.180146523
Barnet,0,2,521,11,60,11,A5109,PU,E,2012,01/05/2012,51.630037489999999,-0.19541540899999998
Barnet,0,19,1372,8,277,128,A1,PR,N,2012,19/09/2012,51.649760280000002,-0.25086287099999999
Barnet,0,54,1536,19,404,180,A406,PU,N,2012,28/06/2012,51.586194110000001,-0.20971157300000001
Barnet,14,17,682,39,89,37,A598,PU,N,2012,24/05/2012,51.613571350000001,-0.17729170899999999
Barnet,0,23,1103,6,203,84,A1,PU,E,2012,17/04/2012,51.589795479999999,-0.21000307899999998
Barnet,1,36,1726,21,281,90,A41,PU,E,2012,21/09/2012,51.587089679999998,-0.23320584100000002
Barnet,0,48,1658,13,395,179,A406,PU,N,2012,28/05/2012,51.57830835,-0.215058416
Barnet,22,35,663,42,119,24,A1000,PU,S,2012,25/06/2012,51.61354893,-0.17584823300000002
