borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Bexley,0,70,2684,22,647,180,A2,PR,E,2010,29/04/2010,51.446030919999998,0.15709799399999999
Bexley,4,9,533,11,113,22,A207,PU,E,2010,07/10/2010,51.451821940000002,0.17464291199999998
Bexley,8,9,387,28,64,6,A207,PU,E,2010,17/05/2010,51.463608649999998,0.10033925199999999
Bexley,1,2,493,29,62,9,A222,PU,N,2010,25/03/2010,51.424567760000002,0.10099390800000001
Bexley,4,10,668,6,134,18,A223,PR,N,2010,21/09/2010,51.427530539999999,0.13608667099999999
Bexley,2,10,835,20,169,36,A223,PR,E,2010,08/06/2010,51.413620690000002,0.119618855
Bexley,3,4,269,49,32,5,A221,PU,E,2010,28/04/2010,51.45731232,0.14510625699999999
Bexley,1,41,944,8,235,53,A20,PU,E,2010,06/07/2010,51.428911560000003,0.084361660000000005
Bexley,0,76,2250,28,592,153,A2,PU,N,2010,08/10/2010,51.456207290000002,0.086756514000000007
Bexley,5,12,673,9,117,14,A221,PU,E,2010,18/05/2010,51.447978759999998,0.119338826
Bexley,0,61,2309,21,601,152,A2,PU,N,2010,08/09/2010,51.448353730000001,0.12842321100000001
Bexley,1,2,234,1,28,0,A2001,PU,E,2010,24/05/2010,51.423815399999995,0.10282936199999999
Bexley,3,14,1109,20,200,35,A207,PU,E,2010,26/03/2010,51.451407340000003,0.17856693600000001
Bexley,1,45,1650,10,397,69,A20,PU,N,2010,26/05/2010,51.415792490000001,0.10389930999999999
Bexley,5,6,471,4,75,12,A2018,PU,E,2010,19/05/2010,51.436506629999997,0.15664921900000001
Bexley,2,12,701,22,133,20,A207,PU,N,2010,12/05/2010,51.454746579999998,0.15261486599999999
Bexley,3,14,834,24,175,24,A220,PU,N,2010,28/06/2010,51.447208259999996,0.15664977300000002
Bexley,3,11,615,12,176,115,A206,PU,E,2010,05/10/2010,51.463468100000007,0.18671417000000001
