,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
49848,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,7,0,38,2950,13,799,189,3989
49849,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,8,0,13,3302,27,608,244,4194
49850,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,9,0,22,2748,24,581,240,3615
49851,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,10,0,32,2321,13,592,201,3159
49852,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,11,0,17,2685,13,729,269,3713
49853,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,12,0,30,3008,9,841,257,4145
49854,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,13,0,32,2998,13,962,288,4293
49855,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,14,0,51,3324,25,1066,247,4713
49856,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,15,0,62,3704,26,1304,221,5317
49857,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,16,0,97,3859,18,1045,122,5141
49858,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,17,0,114,4342,44,1040,109,5649
49859,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,E,2016,29/04/2016,18,0,138,3756,63,583,68,4608
49860,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,7,1,167,3643,61,1243,203,5317
49861,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,8,0,123,2654,25,668,199,3669
49862,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,9,0,53,2524,26,884,228,3715
49863,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,10,0,16,2322,12,629,197,3176
49864,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,11,0,24,2264,12,549,145,2994
49865,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,12,0,31,2429,14,527,191,3192
49866,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,13,0,31,2513,17,511,194,3266
49867,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,14,0,10,2741,9,580,151,3491
49868,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,15,0,25,2511,16,504,140,3196
49869,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,16,0,23,2853,24,553,77,3530
49870,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,17,0,28,3386,22,477,69,3982
49871,London,E09000004,Bexley,6097,51.44603092,0.157097994,A2,PR,W,2016,29/04/2016,18,0,23,3072,7,342,43,3487
50304,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,7,1,7,370,7,79,15,478
50305,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,8,1,4,337,7,66,16,430
50306,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,9,0,2,290,6,65,28,391
50307,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,10,1,5,262,8,84,31,390
50308,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,11,1,3,219,8,74,17,321
50309,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,12,0,3,287,5,66,19,380
50310,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,13,4,5,283,7,56,23,374
50311,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,14,2,2,255,11,76,18,362
50312,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,15,4,3,260,7,61,24,355
50313,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,16,3,4,298,9,80,23,414
50314,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,17,4,1,304,6,62,12,385
50315,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,N,2016,21/09/2016,18,5,2,292,9,42,7,352
50316,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,7,2,6,209,11,76,14,316
50317,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,8,0,4,286,12,60,26,388
50318,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,9,0,0,203,6,56,23,288
50319,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,10,2,6,272,10,47,26,361
50320,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,11,0,2,277,6,54,20,359
50321,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,12,3,6,300,6,71,16,399
50322,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,13,0,3,260,9,68,14,354
50323,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,14,3,1,239,9,64,16,329
50324,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,15,2,0,328,6,59,20,413
50325,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,16,4,4,386,10,74,7,481
50326,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,17,5,6,418,8,60,4,496
50327,London,E09000004,Bexley,6778,51.47214949,0.161814664,A220,PU,S,2016,21/09/2016,18,2,5,332,6,49,0,392
51120,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,7,0,17,997,6,294,19,1333
51121,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,8,1,12,999,7,140,41,1199
51122,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,9,0,12,855,9,200,51,1127
51123,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,10,2,7,720,7,188,50,972
51124,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,11,0,10,730,1,144,54,939
51125,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,12,1,13,696,2,230,36,977
51126,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,13,0,16,726,4,265,68,1079
51127,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,14,0,23,761,4,284,54,1126
51128,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,15,2,28,777,4,332,47,1188
51129,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,16,1,47,1012,8,331,28,1426
51130,London,E09000004,Bexley,16228,51.42891156,0.08436166,A20,PU,E,2016,16/06/2016,17,3,97,1219,6,270,17,1609
