borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Brent,3,13,919,39,122,34,A404,PU,E,2010,13/05/2010,51.55393771,-0.31469180399999996
Brent,5,7,873,15,69,27,A404,PU,N,2010,10/09/2010,51.543589509999997,-0.27094478999999999
Brent,0,42,3108,11,526,278,A406,PU,E,2010,21/06/2010,51.541774289999999,-0.275916669
Brent,3,8,730,11,98,24,A4005,PU,N,2010,21/10/2010,51.538977840000001,-0.29995939300000002
Brent,4,21,1456,13,140,62,A404,PU,N,2010,30/09/2010,51.569417909999999,-0.32191134700000001
Brent,1,33,2879,12,605,341,A406,PU,E,2010,07/06/2010,51.568684619999999,-0.24113414899999999
Brent,5,11,250,19,61,17,A407,PU,N,2010,21/04/2010,51.550379970000002,-0.21991632100000003
Brent,2,4,275,10,32,7,A4005,PU,N,2010,16/09/2010,51.559524100000004,-0.32804607699999999
Brent,2,5,481,13,53,20,A4088,PU,E,2010,19/10/2010,51.562524879999998,-0.29908138899999998
Brent,3,62,2802,16,236,238,A406,PU,E,2010,11/05/2010,51.546602669999999,-0.26794609800000002
Brent,11,27,830,17,108,54,A404,PU,N,2010,29/04/2010,51.532688700000001,-0.239364364
Brent,7,10,562,11,81,16,A4005,PU,N,2010,26/04/2010,51.551768289999998,-0.31390654299999998
Brent,5,11,369,37,57,35,A404,PU,W,2010,15/06/2010,51.537326589999999,-0.24883201899999999
Brent,13,18,1287,36,169,40,A4088,PU,E,2010,10/05/2010,51.564042520000001,-0.26151234299999998
Brent,0,14,1391,35,185,62,A4088,PU,E,2010,12/03/2010,51.560905570000003,-0.25614975299999998
