,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
50448,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,7,6,17,411,40,62,19,549
50449,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,8,3,12,403,33,55,12,515
50450,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,9,5,10,446,42,75,18,591
50451,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,10,3,12,432,36,99,18,597
50452,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,11,2,16,480,32,86,19,633
50453,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,12,6,22,512,38,106,17,695
50454,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,13,8,10,522,30,76,18,656
50455,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,14,8,14,540,28,89,11,682
50456,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,15,6,22,616,38,95,13,784
50457,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,16,11,13,613,24,60,9,719
50458,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,17,25,27,698,30,99,6,860
50459,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,N,2016,27/05/2016,18,24,23,633,26,56,6,744
50460,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,7,24,25,807,45,207,28,1112
50461,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,8,12,27,795,35,108,30,995
50462,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,9,3,18,780,52,104,34,988
50463,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,10,4,15,738,44,112,30,939
50464,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,11,2,16,642,30,94,30,812
50465,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,12,9,14,743,27,90,17,891
50466,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,13,1,20,739,33,108,29,929
50467,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,14,1,13,681,43,85,15,837
50468,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,15,4,12,642,48,72,10,784
50469,London,E09000005,Brent,7051,51.55393771,-0.314691804,A404,PU,S,2016,27/05/2016,16,9,18,716,21,97,11,863
