,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
30888,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,7,4,7,224,22,33,15,301
30889,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,8,0,9,255,23,47,12,346
30890,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,9,0,5,237,19,44,14,319
30891,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,10,2,5,214,18,42,19,298
30892,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,11,1,5,227,18,38,11,299
30893,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,12,0,9,253,20,37,5,324
30894,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,13,0,7,271,19,41,7,345
30895,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,14,0,5,284,23,47,3,362
30896,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,15,2,5,307,22,43,5,382
30897,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,16,4,7,310,20,45,2,384
30898,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,17,0,5,321,21,42,1,390
30899,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,N,2013,11/06/2013,18,1,3,289,20,37,0,349
30900,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,7,5,7,307,16,38,15,383
30901,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,8,2,5,371,19,53,6,454
30902,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,9,1,7,319,17,55,8,406
30903,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,10,2,6,288,16,48,9,367
30904,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,11,0,3,271,18,51,7,350
30905,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,12,0,5,266,17,42,5,335
30906,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,13,1,3,259,21,37,4,324
30907,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,14,0,3,247,23,33,6,312
30908,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,15,2,2,234,25,24,7,292
30909,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,16,2,1,239,23,23,4,290
30910,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,17,1,2,257,21,21,3,304
30911,London,E09000006,Bromley,27609,51.41169705,0.014552549,A2212,PU,S,2013,11/06/2013,18,1,2,241,21,18,2,284
33252,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,7,5,11,445,11,78,7,552
33253,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,8,3,9,521,7,63,5,605
33254,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,9,2,7,412,8,58,4,489
33255,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,10,6,4,443,12,65,17,541
33256,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,11,2,11,545,10,93,24,683
33257,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,12,3,7,513,9,101,28,658
33258,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,13,1,9,583,8,109,20,729
33259,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,14,6,19,621,14,159,19,832
33260,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,15,2,17,683,13,198,26,937
33261,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,16,9,26,731,14,168,9,948
33262,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,17,17,37,765,16,147,7,972
33263,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,N,2013,10/09/2013,18,11,25,659,11,103,4,802
33264,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,7,11,33,587,9,207,12,848
33265,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,8,13,28,611,7,146,3,795
33266,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,9,8,13,563,6,123,3,708
33267,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,10,3,10,425,8,86,4,533
33268,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,11,0,8,414,7,91,8,528
33269,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,12,1,3,377,5,53,2,440
33270,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,13,4,6,393,6,42,6,453
33271,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,14,3,11,422,11,71,11,526
33272,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,15,2,9,515,8,93,21,646
33273,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,16,5,15,536,9,85,7,652
33274,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,17,7,13,554,7,71,3,648
33275,London,E09000006,Bromley,46803,51.40388802,-0.055523143,A214,PU,S,2013,10/09/2013,18,4,9,427,5,48,1,490
33324,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,7,3,17,624,9,212,19,881
33325,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,8,5,22,668,11,181,17,899
33326,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,9,2,10,636,9,167,15,837
33327,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,10,0,7,517,11,121,22,678
33328,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,11,0,13,611,10,135,22,791
33329,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,12,0,11,587,12,126,18,754
33330,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,13,0,9,619,11,103,22,764
33331,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,14,0,5,542,8,127,11,693
33332,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,15,0,3,575,14,112,19,723
33333,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,16,8,11,783,14,131,23,962
33334,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,17,5,9,821,8,122,7,967
33335,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,E,2013,29/04/2013,18,0,5,843,11,97,3,959
33336,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,W,2013,29/04/2013,7,5,11,679,10,114,13,827
33337,London,E09000006,Bromley,46816,51.41552297,0.083752539,A222,PU,W,2013,29/04/2013,8,8,15,893,17,125,20,1070
