borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Bromley,1,6,552,7,120,37,A232,PU,E,2016,18/05/2016,51.367362909999997,0.045649000999999995
Bromley,3,10,623,5,135,36,A232,PU,E,2016,06/05/2016,51.367264640000002,0.038389553999999999
Bromley,4,5,270,16,45,4,A208,PU,N,2016,06/07/2016,51.416406619999997,0.069410772999999995
Bromley,9,10,426,11,75,9,A21,PU,N,2016,01/11/2016,51.411518749999999,0.0092240040000000009
Bromley,3,2,400,13,52,3,A223,PU,N,2016,07/06/2016,51.365220069999999,0.093636120000000003
Bromley,18,15,387,20,103,5,A234,PU,E,2016,01/11/2016,51.418169939999999,-0.059950872999999995
Bromley,8,15,663,8,152,15,A222,PU,N,2016,09/06/2016,51.395525020000001,-0.050127739000000004
Bromley,6,7,430,0,92,18,A232,PU,E,2016,28/09/2016,51.37245308,-0.0044122950000000001
Bromley,7,16,401,21,110,9,A214,PU,E,2016,08/11/2016,51.413095480000003,-0.068506479000000009
Bromley,1,10,498,3,129,38,A232,PU,E,2016,08/09/2016,51.368587140000002,0.012875289999999999
