,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
19944,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,7,147,61,328,59,77,36,561
19945,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,8,185,58,369,63,109,34,633
19946,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,9,98,37,299,47,94,57,534
19947,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,10,57,43,301,31,106,46,527
19948,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,11,49,46,287,26,90,41,490
19949,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,12,61,28,293,28,96,45,490
19950,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,13,83,34,316,25,108,34,517
19951,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,14,94,38,309,24,111,38,520
19952,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,15,149,51,401,41,86,22,601
19953,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,16,154,56,397,39,67,16,575
19954,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,17,163,61,435,38,41,8,583
19955,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,E,2012,15/06/2012,18,208,52,456,37,40,4,589
19956,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,7,69,41,257,45,78,48,469
19957,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,8,209,23,281,53,104,62,523
19958,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,9,128,28,301,47,108,37,521
19959,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,10,108,15,239,29,67,36,386
19960,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,11,94,19,218,24,69,33,363
19961,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,12,84,43,251,42,78,31,445
19962,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,13,67,37,298,28,69,31,463
19963,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,14,81,44,307,31,74,31,487
19964,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,15,97,42,296,41,36,12,427
19965,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,16,101,51,314,37,27,15,444
19966,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,17,135,68,363,31,19,11,492
19967,London,E09000007,Camden,6425,51.51823022,-0.11335663,A40,PU,W,2012,15/06/2012,18,216,64,324,41,23,7,459
20100,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,7,24,31,221,63,72,39,426
20101,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,8,27,42,280,52,91,43,508
20102,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,9,18,29,276,61,131,34,531
20103,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,10,21,26,351,53,138,37,605
20104,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,11,17,24,486,45,112,37,704
20105,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,12,42,39,324,52,196,69,680
20106,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,13,56,43,375,36,159,66,679
20107,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,14,59,30,394,54,129,49,656
20108,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,15,52,41,407,62,135,64,709
20109,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,16,50,71,510,58,99,36,774
20110,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,17,208,92,704,46,176,46,1064
20111,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,N,2012,23/03/2012,18,233,81,925,61,148,48,1263
20112,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,7,69,88,821,66,201,91,1267
20113,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,8,190,196,1038,58,237,106,1635
20114,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,9,148,98,755,61,232,72,1218
20115,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,10,106,69,724,57,222,54,1126
20116,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,11,77,74,793,48,233,54,1202
20117,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,12,58,49,564,50,175,49,887
20118,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,13,51,42,651,47,132,48,920
20119,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,14,48,39,706,44,195,42,1026
20120,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,15,53,44,735,54,164,35,1032
20121,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,16,45,39,654,60,109,28,890
20122,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,17,42,78,688,63,96,26,951
20123,London,E09000007,Camden,7044,51.53113588,-0.138775001,A400,PU,S,2012,23/03/2012,18,45,37,1207,57,79,31,1411
20340,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,7,85,28,172,34,102,33,369
20341,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,8,81,47,159,39,71,51,367
20342,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,9,63,29,167,51,86,45,378
20343,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,10,51,21,172,41,79,33,346
20344,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,11,22,19,156,46,64,35,320
20345,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,12,28,22,184,34,88,38,366
20346,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,13,26,13,166,36,64,35,314
20347,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,14,15,8,157,34,56,48,303
20348,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,15,36,11,168,50,85,37,351
20349,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,16,46,54,254,48,64,29,449
20350,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,17,124,71,252,51,46,20,440
20351,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,N,2012,23/04/2012,18,180,62,288,54,52,18,474
20352,London,E09000007,Camden,7671,51.52466869,-0.127938667,A4200,PU,S,2012,23/04/2012,7,60,43,219,26,82,35,405
