borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Camden,150,8,46,60,14,5,A40,PU,E,2015,30/04/2015,51.516843430000002,-0.127827145
Camden,25,50,904,54,239,65,A41,PU,N,2015,30/06/2015,51.54979866,-0.18200525300000001
Camden,74,28,250,32,81,22,A400,PU,N,2015,26/06/2015,51.549154899999998,-0.14092436999999999
Camden,72,91,955,64,269,73,A501,PU,E,2015,15/10/2015,51.526550970000002,-0.13319547699999998
Camden,53,19,230,17,72,12,A5200,PU,N,2015,16/09/2015,51.525394409999997,-0.11709697099999999
Camden,51,38,367,42,127,35,A400,PU,N,2015,24/09/2015,51.535642930000002,-0.13945629900000001
Camden,31,55,430,21,122,37,A5200,PU,N,2015,24/09/2015,51.52994546,-0.120513539
Camden,97,130,1395,58,346,112,A501,PU,E,2015,15/10/2015,51.524224959999998,-0.14188225300000001
Camden,36,26,288,44,95,30,A5,PU,N,2015,02/10/2015,51.541220580000001,-0.19720054300000001
Camden,78,90,1184,81,268,79,A501,PU,E,2015,27/04/2015,51.52884057,-0.12733502999999999
Camden,111,44,240,26,98,21,A401,PU,N,2015,02/07/2015,51.514237309999999,-0.12793400199999999
Camden,52,105,1152,44,263,72,A501,PU,E,2015,18/06/2015,51.525563500000004,-0.13669569100000001
