borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
City of London,157,131,627,55,210,53,A201,PU,N,2010,22/04/2010,51.512956930000001,-0.10420670999999999
City of London,52,131,740,32,277,105,A3211,PU,E,2010,24/03/2010,51.50930709,-0.084903540999999999
City of London,38,38,343,10,97,24,A1211,PU,E,2010,16/06/2010,51.517521240000001,-0.091765743000000011
City of London,172,208,1003,38,301,94,A3211,PU,E,2010,22/09/2010,51.511049649999997,-0.10860931300000001
City of London,42,53,293,6,96,23,A1211,PU,E,2010,10/05/2010,51.516640000000002,-0.084595971999999992
City of London,49,39,269,20,89,18,A1,PU,N,2010,23/03/2010,51.52147901,-0.097366190999999991
City of London,86,161,814,32,239,117,A3211,PU,E,2010,17/06/2010,51.511058120000001,-0.10356496900000001
City of London,246,116,602,35,180,47,A201,PU,N,2010,14/10/2010,51.509002860000002,-0.10437085300000001
City of London,62,127,558,22,200,74,A3211,PU,E,2010,24/05/2010,51.511257780000001,-0.099233233000000004
City of London,77,148,652,39,249,109,A3211,PU,E,2010,26/05/2010,51.510398500000001,-0.090622264999999994
City of London,68,123,666,35,239,114,A3211,PU,E,2010,21/10/2010,51.50981239,-0.08776456199999999
