,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
51816,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,7,799,188,651,6,261,63,1169
51817,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,8,1301,276,567,10,229,87,1169
51818,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,9,424,138,443,7,250,89,927
51819,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,10,84,54,420,8,308,84,874
51820,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,11,50,38,372,7,272,72,761
51821,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,12,73,71,425,7,317,79,899
51822,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,13,75,92,464,8,208,79,851
51823,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,14,47,53,310,12,208,68,651
51824,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,15,102,63,309,13,234,62,681
51825,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,16,227,114,365,27,240,55,801
51826,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,17,482,185,664,40,269,44,1202
51827,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,E,2016,01/11/2016,18,715,146,563,22,182,17,930
51828,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,7,448,188,384,12,275,99,958
51829,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,8,893,139,357,17,332,69,914
51830,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,9,571,76,377,38,268,54,813
51831,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,10,144,57,369,29,204,42,701
51832,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,11,57,68,451,39,230,45,833
51833,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,12,74,53,374,22,213,43,705
51834,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,13,50,44,410,19,173,40,686
51835,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,14,60,50,509,24,170,39,792
51836,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,15,63,63,553,27,164,13,820
51837,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,16,127,85,525,31,83,6,730
51838,London,E09000001,City of London,18468,51.51104965,-0.108609313,A3211,PU,W,2016,01/11/2016,17,767,197,589,19,35,4,844
