borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Croydon,3,20,853,10,192,69,A23,PU,N,2013,24/10/2013,51.367150129999999,-0.11871077300000001
Croydon,9,17,972,11,185,54,A236,PU,N,2013,23/04/2013,51.375050880000003,-0.106748315
Croydon,0,10,576,13,137,32,A2022,PU,E,2013,09/09/2013,51.357613659999998,-0.030911302999999998
Croydon,4,12,538,11,88,11,A212,PU,N,2013,13/06/2013,51.368606909999997,-0.096440290999999997
Croydon,8,19,518,9,116,39,A236,PU,E,2013,13/09/2013,51.390399930000001,-0.13299307300000002
Croydon,7,10,384,16,43,16,A215,PU,N,2013,26/04/2013,51.395552860000002,-0.068095483999999998
Croydon,7,15,594,7,136,24,A222,PU,N,2013,04/07/2013,51.38513777,-0.063647711999999995
Croydon,2,5,495,2,76,29,A212,PU,E,2013,01/07/2013,51.366177389999997,-0.090823423000000014
Croydon,7,24,1117,22,142,44,A23,PU,W,2013,09/07/2013,51.338820839999997,-0.118578719
Croydon,7,15,496,28,83,22,A215,PU,E,2013,22/10/2013,51.413656609999997,-0.091779700999999991
Croydon,2,6,517,2,87,16,A232,PU,E,2013,22/10/2013,51.372856659999997,-0.083519634000000009
Croydon,4,6,187,19,46,9,A214,PU,E,2013,13/06/2013,51.419470519999997,-0.084346266999999989
Croydon,3,16,825,4,145,32,A232,PU,E,2013,27/06/2013,51.372503420000001,-0.088318885
