,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
39432,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,7,15,26,312,10,118,11,477
39433,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,8,21,18,336,4,62,12,432
39434,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,9,9,10,390,8,63,18,489
39435,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,10,13,5,303,9,71,10,398
39436,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,11,1,11,288,9,72,12,392
39437,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,12,4,4,264,4,77,13,362
39438,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,13,4,2,305,6,67,8,388
39439,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,14,3,6,320,6,55,6,393
39440,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,15,6,10,388,14,75,7,494
39441,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,16,7,21,369,7,77,5,479
39442,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,17,12,10,429,7,69,0,515
39443,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,N,2014,10/10/2014,18,6,9,413,8,55,1,486
39444,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,7,7,6,378,6,115,16,521
39445,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,8,11,11,446,18,75,15,565
39446,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,9,7,6,395,8,85,14,508
39447,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,10,5,4,317,8,88,6,423
39448,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,11,3,9,419,8,105,24,565
39449,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,12,6,10,423,7,83,17,540
39450,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,13,3,7,338,4,102,12,463
39451,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,14,6,1,419,9,128,10,567
39452,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,15,7,12,418,7,94,17,548
39453,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,16,10,11,363,6,95,11,486
39454,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,17,19,24,500,6,101,4,635
39455,London,E09000008,Croydon,46799,51.41335496,-0.084314311,A212,PU,S,2014,10/10/2014,18,25,18,471,7,66,1,563
39456,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,7,6,0,285,20,48,10,363
39457,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,8,17,8,303,17,42,12,382
39458,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,9,3,0,210,21,39,13,283
39459,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,10,3,0,162,19,26,15,222
39460,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,11,4,5,184,18,29,23,259
39461,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,12,4,5,188,22,33,9,257
39462,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,13,3,1,176,21,19,12,229
39463,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,14,6,4,221,22,21,11,279
39464,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,15,3,5,279,20,40,8,352
39465,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,16,10,4,278,22,48,4,356
39466,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,17,17,17,340,18,39,6,420
39467,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,N,2014,11/09/2014,18,18,4,301,19,30,0,354
39468,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,7,6,3,341,17,57,6,424
39469,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,8,23,3,273,12,29,15,332
39470,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,9,9,2,274,27,59,15,377
39471,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,10,4,1,214,21,45,8,289
39472,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,11,2,2,222,18,44,6,292
39473,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,12,5,3,213,20,48,12,296
39474,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,13,5,5,196,20,52,11,284
39475,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,14,2,4,242,21,54,10,331
39476,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,15,3,1,248,17,59,5,330
39477,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,16,8,10,319,20,53,4,406
39478,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,17,11,4,323,22,55,3,407
39479,London,E09000008,Croydon,46818,51.37750343,-0.091631091,A222,PU,S,2014,11/09/2014,18,7,8,303,42,36,2,391
