,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
36768,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,7,17,171,2733,14,697,294,3909
36769,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,8,8,166,2789,18,536,261,3770
36770,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,9,7,61,3023,19,468,313,3884
36771,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,10,0,66,2915,30,695,401,4107
36772,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,11,0,47,2483,17,565,368,3480
36773,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,12,1,58,2442,13,603,340,3456
36774,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,13,1,34,2175,14,440,263,2926
36775,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,14,2,39,2151,22,532,376,3120
36776,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,15,3,44,2652,23,474,280,3473
36777,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,16,7,69,2972,35,454,210,3740
36778,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,17,0,72,3237,23,317,141,3790
36779,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,E,2014,19/05/2014,18,7,64,3459,21,345,86,3975
36780,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,7,10,63,3002,28,606,106,3805
36781,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,8,4,55,2518,17,399,250,3239
36782,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,9,6,39,1471,55,485,283,2333
36783,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,10,4,39,1842,28,544,405,2858
36784,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,11,3,33,2055,25,674,340,3127
36785,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,12,2,53,2072,10,810,376,3321
36786,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,13,4,41,2506,25,768,407,3747
36787,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,14,3,75,2644,30,881,352,3982
36788,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,15,6,73,2110,19,1009,321,3532
36789,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,16,12,132,2630,32,1004,242,4040
36790,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,17,25,179,3676,27,756,153,4791
36791,London,E09000009,Ealing,6429,51.53840593,-0.357659336,A40,PU,W,2014,19/05/2014,18,25,200,3577,21,549,102,4449
37392,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,7,34,41,1674,28,380,169,2292
37393,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,8,23,43,1681,24,292,202,2242
37394,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,9,7,36,1339,53,420,239,2087
37395,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,10,7,34,1273,30,435,226,1998
37396,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,11,5,21,1429,22,476,332,2280
37397,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,12,5,31,1612,31,471,271,2416
37398,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,13,3,55,1707,26,723,277,2788
37399,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,14,10,69,1757,18,632,217,2693
37400,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,15,7,58,1880,27,741,229,2935
37401,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,16,15,121,2133,34,795,207,3290
37402,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,17,13,155,2247,60,921,140,3523
37403,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,N,2014,05/06/2014,18,35,158,2366,63,423,71,3081
37404,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,S,2014,05/06/2014,7,0,272,1440,62,1076,232,3082
37405,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,S,2014,05/06/2014,8,4,267,1528,60,743,240,2838
37406,London,E09000009,Ealing,16404,51.52064305,-0.263165499,A40,PU,S,2014,05/06/2014,9,0,151,1781,70,682,188,2872
