borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Ealing,3,64,2759,16,687,335,A40,PU,E,2015,13/04/2015,51.538405930000003,-0.35765933599999999
Ealing,6,103,1947,28,513,213,A40,PU,N,2015,22/04/2015,51.520643049999997,-0.26316549899999997
Ealing,3,7,375,9,51,14,A4090,PU,E,2015,03/07/2015,51.551912860000002,-0.323997961
Ealing,5,70,2923,37,653,334,A40,PU,E,2015,22/06/2015,51.535507010000003,-0.343344969
Ealing,33,13,460,51,62,15,A4020,PU,E,2015,04/06/2015,51.509553140000001,-0.329876006
Ealing,11,115,2265,39,558,220,A40,PU,E,2015,18/06/2015,51.516067360000001,-0.25901573899999997
Ealing,1,59,2508,23,542,205,A40,PU,E,2015,22/05/2015,51.545329200000005,-0.384811458
Ealing,2,19,1001,34,183,76,A312,PU,E,2015,16/09/2015,51.538895770000003,-0.38648118799999998
Ealing,4,22,731,16,172,90,A406,PU,N,2015,18/05/2015,51.520871079999999,-0.29155280300000003
Ealing,7,88,1733,36,473,200,A40,PU,E,2015,11/06/2015,51.525525010000003,-0.27162915900000001
Ealing,0,52,1799,6,487,209,A406,PU,N,2015,02/10/2015,51.535821220000003,-0.28695580500000001
Ealing,10,16,480,12,95,30,A4000,PU,N,2015,09/09/2015,51.509009499999998,-0.27369526399999999
Ealing,11,13,284,16,77,48,A4000,PU,N,2015,12/05/2015,51.522070859999999,-0.25878679500000001
Ealing,13,33,846,29,253,115,A4000,PU,S,2015,18/05/2015,51.521238449999998,-0.26025997899999997
Ealing,0,23,1028,7,230,76,A312,PU,N,2015,26/06/2015,51.531250759999999,-0.38963494600000004
