,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
49920,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,7,7,28,937,29,150,27,1171
49921,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,8,7,15,808,25,151,26,1025
49922,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,9,6,7,734,27,204,48,1020
49923,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,10,3,5,608,27,200,59,899
49924,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,11,3,7,642,28,216,40,933
49925,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,12,5,17,725,20,198,39,999
49926,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,13,2,17,886,25,229,30,1187
49927,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,14,4,21,969,23,296,34,1343
49928,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,15,7,29,903,26,272,36,1266
49929,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,16,5,33,908,32,289,16,1278
49930,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,17,12,55,801,29,253,15,1153
49931,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,N,2016,26/05/2016,18,8,39,822,28,157,14,1060
49932,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,7,38,54,1233,29,330,37,1683
49933,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,8,38,32,1166,31,234,35,1498
49934,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,9,7,27,1142,32,292,53,1546
49935,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,10,5,13,901,20,212,38,1184
49936,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,11,1,11,934,20,215,27,1207
49937,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,12,5,15,899,23,216,33,1186
49938,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,13,3,20,927,26,160,42,1175
49939,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,14,2,17,902,36,130,30,1115
49940,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,15,2,13,926,39,149,23,1150
49941,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,16,7,29,1058,25,173,26,1311
49942,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,17,4,28,1188,26,108,14,1364
49943,London,E09000010,Enfield,6188,51.61122549,-0.086394253,A10,PU,S,2016,26/05/2016,18,5,18,1294,23,103,16,1454
50496,London,E09000010,Enfield,7057,51.61313761,-0.132533777,A406,PU,E,2016,12/09/2016,7,5,39,1011,1,388,79,1518
50497,London,E09000010,Enfield,7057,51.61313761,-0.132533777,A406,PU,E,2016,12/09/2016,8,1,26,881,4,273,110,1294
50498,London,E09000010,Enfield,7057,51.61313761,-0.132533777,A406,PU,E,2016,12/09/2016,9,3,16,843,5,325,136,1325
