borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Enfield,7,22,929,27,205,31,A10,PU,N,2016,26/05/2016,51.611225490000002,-0.086394253000000004
Enfield,2,35,1058,4,372,114,A406,PU,E,2016,12/09/2016,51.613137610000003,-0.13253377699999999
Enfield,4,8,471,5,131,29,A110,PU,E,2016,18/05/2016,51.637037650000003,-0.016201083000000002
Enfield,3,42,1373,18,464,161,A406,PU,E,2016,13/09/2016,51.615899310000003,-0.097320040999999996
Enfield,6,27,1176,16,263,59,A10,PU,N,2016,05/05/2016,51.63786228,-0.065618899000000008
Enfield,3,8,364,14,103,13,A109,PU,E,2016,30/06/2016,51.611588849999997,-0.13693029999999998
Enfield,0,33,2377,21,681,193,A406,PU,E,2016,16/09/2016,51.611696629999997,-0.044055394000000005
Enfield,0,22,3077,7,952,737,M25,TM,E,2016,14/09/2016,51.682723510000002,-0.059512269000000007
Enfield,3,29,1223,26,412,131,A406,PU,E,2016,20/10/2016,51.613628560000002,-0.123847315
Enfield,3,3,303,1,63,11,A105,PU,N,2016,26/09/2016,51.679135270000003,-0.054602983000000001
