,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
41832,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,7,4,18,686,4,219,28,955
41833,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,8,3,17,708,2,135,37,899
41834,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,9,2,18,510,5,119,35,687
41835,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,10,1,13,463,4,170,33,683
41836,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,11,0,7,457,1,164,30,659
41837,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,12,2,16,483,1,182,52,734
41838,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,13,2,20,504,3,156,46,729
41839,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,14,1,24,501,4,229,41,799
41840,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,15,4,36,528,1,213,27,805
41841,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,16,11,67,722,7,294,25,1115
41842,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,17,14,105,840,5,274,18,1242
41843,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,E,2015,24/06/2015,18,27,154,955,10,191,15,1325
41844,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,7,22,147,599,2,312,43,1103
41845,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,8,11,108,662,11,246,43,1070
41846,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,9,4,54,633,13,224,44,968
41847,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,10,2,29,537,3,194,46,809
41848,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,11,3,14,513,1,155,39,722
41849,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,12,3,14,570,5,168,30,787
41850,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,13,2,8,538,3,150,31,730
41851,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,14,0,10,502,2,131,19,664
41852,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,15,1,20,651,8,138,27,844
41853,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,16,3,25,740,6,158,19,948
41854,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,17,2,10,803,5,140,13,971
41855,London,E09000011,Greenwich,6243,51.4409029,0.041738731,A20,PU,W,2015,24/06/2015,18,3,8,839,8,133,13,1001
43992,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,7,0,61,404,1,56,6,528
43993,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,8,0,41,355,2,102,2,502
43994,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,9,0,24,426,3,105,5,563
43995,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,10,0,11,495,1,150,6,663
43996,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,11,2,10,539,1,130,5,685
43997,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,12,1,7,410,2,128,2,549
43998,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,13,0,13,479,0,133,6,631
43999,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,14,1,11,494,0,192,2,699
44000,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,15,1,26,569,0,186,8,789
44001,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,16,0,19,493,0,150,6,668
44002,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,17,1,46,800,1,141,9,997
44003,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,E,2015,05/06/2015,18,0,56,560,0,120,2,738
44004,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,7,2,22,631,0,269,7,929
44005,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,8,0,17,598,1,171,4,791
44006,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,9,3,10,501,0,124,8,643
44007,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,10,0,13,610,0,141,10,774
44008,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,11,1,8,626,0,114,10,758
44009,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,12,1,7,761,0,110,4,882
44010,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,13,0,14,631,0,114,5,764
44011,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,14,0,16,451,0,153,3,623
44012,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,15,0,18,516,1,109,0,644
44013,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,16,0,14,462,1,66,1,544
44014,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,17,1,44,622,2,99,3,770
44015,London,E09000011,Greenwich,18560,51.46307809,0.028331844,A2213,PU,W,2015,05/06/2015,18,3,56,560,0,63,2,681
44208,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,7,11,28,741,5,130,57,961
44209,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,8,6,13,604,5,104,81,807
44210,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,9,2,11,390,13,81,72,567
44211,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,10,2,6,435,6,102,114,663
44212,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,11,7,18,483,11,98,84,694
44213,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,12,4,21,702,4,269,119,1115
44214,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,13,2,20,699,5,326,121,1171
44215,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,14,3,34,743,6,321,144,1248
44216,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,15,4,40,929,10,354,119,1452
44217,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,16,13,97,984,8,394,76,1559
44218,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,17,18,113,1016,7,328,50,1514
44219,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,E,2015,30/04/2015,18,32,125,1216,8,283,35,1667
44220,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,7,10,123,282,3,132,81,621
44221,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,8,16,76,393,13,204,71,757
44222,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,9,6,37,413,12,191,80,733
44223,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,10,3,33,540,10,209,107,899
44224,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,11,8,10,520,11,128,63,732
44225,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,12,2,16,565,2,142,95,820
44226,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,13,4,12,673,1,122,78,886
44227,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,14,3,30,564,8,135,68,805
44228,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,15,4,6,603,11,116,53,789
44229,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,16,8,26,638,4,98,39,805
44230,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,17,11,33,852,5,114,41,1045
44231,London,E09000011,Greenwich,26101,51.47348023,0.014393443,A2,PU,W,2015,30/04/2015,18,6,26,840,6,106,23,1001
44568,London,E09000011,Greenwich,26643,51.49551339,0.003839338,A102,PU,N,2015,17/09/2015,7,0,228,1698,42,839,123,2930
44569,London,E09000011,Greenwich,26643,51.49551339,0.003839338,A102,PU,N,2015,17/09/2015,8,0,333,2086,41,666,118,3244
44570,London,E09000011,Greenwich,26643,51.49551339,0.003839338,A102,PU,N,2015,17/09/2015,9,0,136,2055,14,485,124,2814
44571,London,E09000011,Greenwich,26643,51.49551339,0.003839338,A102,PU,N,2015,17/09/2015,10,0,18,1774,17,646,144,2599
44572,London,E09000011,Greenwich,26643,51.49551339,0.003839338,A102,PU,N,2015,17/09/2015,11,0,22,1630,3,637,173,2465
44573,London,E09000011,Greenwich,26643,51.49551339,0.003839338,A102,PU,N,2015,17/09/2015,12,1,47,1775,11,530,145,2508
