borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Greenwich,4,36,714,31,233,86,A2,PU,E,2016,10/05/2016,51.474499739999999,0.023078427999999998
Greenwich,6,1,203,29,29,3,A205,PU,N,2016,14/09/2016,51.489022509999998,0.066935518999999999
Greenwich,4,22,827,10,256,72,A205,PU,E,2016,05/10/2016,51.450962269999998,0.032112598999999999
Greenwich,20,10,315,34,57,6,A206,PU,E,2016,13/09/2016,51.489024989999997,0.087102368999999999
Greenwich,38,13,237,23,79,10,A2211,PU,N,2016,19/10/2016,51.479561619999998,-0.0099654700000000006
Greenwich,11,11,320,16,59,6,A210,PU,E,2016,21/06/2016,51.45240476,0.042251892999999999
Greenwich,36,25,404,36,156,16,A206,PU,E,2016,09/05/2016,51.483880759999998,0.00044871800000000002
Greenwich,15,22,810,85,190,69,A206,PU,E,2016,15/09/2016,51.490942390000001,0.072798926
Greenwich,0,89,1727,18,590,157,A2,PU,N,2016,16/05/2016,51.469323490000001,0.028076088999999999
Greenwich,16,25,421,19,110,25,A20,PU,E,2016,08/11/2016,51.45577789,0.013613976999999999
Greenwich,5,7,425,18,70,4,A206,PU,E,2016,28/09/2016,51.48509464,0.104236026
Greenwich,0,74,1476,15,465,184,A2,PU,E,2016,21/09/2016,51.459820610000001,0.034679789000000003
Greenwich,0,80,1758,16,541,121,A102,PU,E,2016,01/07/2016,51.488691179999996,0.013623388
