,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
432,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,7,42,34,498,87,74,35,728
433,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,8,57,43,479,86,66,46,720
434,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,9,31,16,391,77,71,30,585
435,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,10,10,8,321,63,74,38,504
436,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,11,7,11,318,76,104,40,549
437,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,12,6,13,320,81,106,23,543
438,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,13,6,9,343,76,88,16,532
439,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,14,7,3,302,64,69,28,466
440,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,15,8,5,247,59,53,20,384
441,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,16,7,21,213,39,58,16,347
442,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,17,29,23,321,76,52,24,496
443,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,E,2010,05/10/2010,18,31,27,381,83,61,39,591
444,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,7,17,18,361,81,68,21,549
445,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,8,15,22,326,88,74,27,537
446,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,9,11,9,294,73,62,14,452
447,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,10,8,7,270,68,63,14,422
448,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,11,12,13,319,79,71,19,501
449,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,12,11,17,406,69,90,29,611
450,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,13,8,1,327,73,62,16,479
451,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,14,12,9,313,62,55,28,467
452,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,15,13,7,208,48,51,28,342
453,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,16,4,8,188,36,42,23,297
454,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,17,21,15,301,67,53,26,462
455,London,E09000012,Hackney,6629,51.55676751,-0.055789812,A104,PU,W,2010,05/10/2010,18,26,21,396,75,67,30,589
1284,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,7,8,29,560,52,69,23,733
1285,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,8,9,28,465,37,75,17,622
1286,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,9,5,29,450,43,120,18,660
1287,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,10,4,22,434,40,96,23,615
1288,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,11,5,19,412,29,62,27,549
1289,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,12,21,18,436,26,112,59,651
1290,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,13,14,12,445,36,144,45,682
1291,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,14,28,15,467,31,151,40,704
1292,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,15,41,17,429,33,157,56,692
1293,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,16,53,19,416,29,173,51,688
1294,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,17,44,13,405,27,160,57,662
1295,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,E,2010,15/09/2010,18,31,11,372,29,139,62,613
1296,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,7,64,21,472,48,226,59,826
1297,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,8,62,18,456,39,161,68,742
1298,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,9,51,21,398,38,196,68,721
1299,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,10,12,26,414,38,144,58,680
1300,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,11,10,23,393,31,132,57,636
1301,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,12,16,12,426,30,118,43,629
1302,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,13,20,11,474,34,114,57,690
1303,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,14,18,21,486,32,89,49,677
1304,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,15,10,23,501,31,72,31,658
1305,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,16,5,11,492,28,54,24,609
1306,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,17,2,7,423,29,51,22,532
1307,London,E09000012,Hackney,8064,51.54892355,-0.039969937,A102,PU,W,2010,15/09/2010,18,4,8,425,28,53,14,528
1500,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,7,143,83,455,48,237,153,976
1501,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,8,157,91,472,51,258,202,1074
1502,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,9,134,72,396,49,243,171,931
1503,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,10,82,41,327,41,227,146,782
1504,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,11,73,59,389,38,195,125,806
1505,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,12,51,43,461,31,169,124,828
1506,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,13,31,28,457,29,201,123,838
1507,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,14,55,67,510,37,276,139,1029
1508,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,15,79,85,496,42,282,145,1050
1509,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,16,96,129,578,41,395,111,1254
1510,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,17,117,142,694,39,429,106,1410
1511,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,E,2010,06/10/2010,18,123,128,752,42,382,81,1385
1512,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,7,287,158,902,52,592,247,1951
1513,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,8,291,163,917,59,549,295,1983
1514,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,9,173,141,893,53,472,272,1831
1515,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,10,132,123,697,51,382,233,1486
1516,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,11,84,102,565,49,265,206,1187
1517,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,12,64,95,509,47,278,206,1135
1518,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,13,49,57,524,44,262,186,1073
1519,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,14,25,34,468,51,267,176,996
1520,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,15,43,52,427,48,159,190,876
1521,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,16,31,42,401,46,155,135,779
1522,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,17,22,37,398,49,162,119,765
1523,London,E09000012,Hackney,8475,51.52618229,-0.08521909,A5201,PU,W,2010,06/10/2010,18,15,23,304,41,142,90,600
3984,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,7,21,16,168,78,42,26,330
3985,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,8,32,14,140,71,56,13,294
3986,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,9,23,8,131,60,48,12,259
3987,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,10,9,11,187,75,68,9,350
3988,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,11,10,6,169,79,58,9,321
3989,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,12,28,7,164,77,90,1,339
3990,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,13,31,7,194,66,67,1,335
3991,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,14,23,8,195,63,66,3,335
3992,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,15,27,9,185,72,76,2,344
3993,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,16,26,7,191,79,58,1,336
3994,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,17,31,5,200,79,52,0,336
3995,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,E,2010,18/10/2010,18,41,7,190,68,34,0,299
3996,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,7,65,18,210,65,75,48,416
3997,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,8,94,13,195,73,98,23,402
3998,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,9,43,11,145,66,86,12,320
3999,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,10,23,9,198,89,92,17,405
4000,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,11,13,7,171,81,61,11,331
4001,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,12,19,4,192,79,74,3,352
4002,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,13,17,5,165,69,50,2,291
4003,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,14,20,5,160,80,41,8,294
4004,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,15,23,8,151,72,35,2,268
4005,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,16,25,11,171,77,32,1,292
4006,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,17,19,8,167,88,27,0,290
4007,London,E09000012,Hackney,26651,51.55043654,-0.053607678,A107,PU,W,2010,18/10/2010,18,7,2,166,77,13,0,258
5196,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,7,19,11,459,47,126,31,674
5197,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,8,20,12,545,89,91,39,776
5198,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,9,7,5,455,95,85,40,680
5199,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,10,8,12,422,75,87,26,622
5200,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,11,9,14,418,21,98,62,613
5201,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,12,7,10,426,56,97,46,635
5202,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,13,5,6,556,62,90,40,754
5203,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,14,8,5,570,90,112,38,815
5204,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,15,6,14,535,61,137,36,783
5205,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,16,7,9,513,57,113,14,706
5206,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,17,37,49,582,66,95,5,797
5207,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,N,2010,24/06/2010,18,31,46,597,64,121,12,840
5208,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,7,64,57,622,80,232,100,1091
5209,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,8,81,43,887,71,185,70,1256
5210,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,9,24,12,568,55,121,68,824
5211,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,10,25,11,592,46,156,59,864
5212,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,11,12,9,401,37,112,40,599
5213,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,12,9,8,415,36,87,29,575
5214,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,13,18,12,626,38,98,39,813
5215,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,14,22,21,689,47,164,47,968
5216,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,15,9,16,657,64,127,29,893
5217,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,16,15,7,697,79,93,20,896
5218,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,17,24,19,619,52,87,22,799
5219,London,E09000012,Hackney,36186,51.57502543,-0.072328853,A10,PU,S,2010,24/06/2010,18,34,22,675,66,56,14,833
5460,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,7,13,10,162,50,94,19,335
5461,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,8,18,7,304,69,110,32,522
5462,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,9,30,9,237,58,91,24,419
5463,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,10,24,13,197,53,82,27,372
5464,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,11,25,6,175,40,66,24,311
5465,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,12,19,7,190,41,47,18,303
5466,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,13,22,16,288,56,78,31,469
5467,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,14,32,21,334,60,85,25,525
5468,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,15,28,10,373,59,85,15,542
5469,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,16,27,23,503,55,87,15,683
5470,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,17,26,12,290,37,32,9,380
5471,London,E09000012,Hackney,36669,51.54327148,-0.055355614,A107,PU,E,2010,02/09/2010,18,59,25,276,52,28,3,384
