borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hammersmith and Fulham,55,57,458,49,131,32,A219,PU,N,2010,19/10/2010,51.470658020000002,-0.21078229100000001
Hammersmith and Fulham,1,99,1569,31,446,136,A40,PU,E,2010,17/06/2010,51.514410699999999,-0.24319664999999999
Hammersmith and Fulham,82,38,308,36,69,13,A315,PU,E,2010,28/04/2010,51.49383606,-0.21520505600000001
Hammersmith and Fulham,9,126,2436,39,444,128,A4,PU,E,2010,11/05/2010,51.490602879999997,-0.24406876199999999
Hammersmith and Fulham,115,69,496,20,147,35,A308,PU,E,2010,10/05/2010,51.47938018,-0.18732697800000001
Hammersmith and Fulham,22,30,499,12,143,48,A219,PU,N,2010,13/10/2010,51.523592999999998,-0.232493222
Hammersmith and Fulham,13,130,1943,44,380,92,A4,PU,E,2010,24/06/2010,51.490960190000003,-0.21531737100000001
Hammersmith and Fulham,39,62,948,49,186,36,A306,PU,E,2010,26/05/2010,51.492106499999998,-0.22567317399999998
Hammersmith and Fulham,45,51,493,35,134,30,A219,PU,N,2010,05/05/2010,51.496483609999999,-0.22374560300000002
Hammersmith and Fulham,67,47,413,41,112,25,A315,PU,E,2010,05/10/2010,51.49440508,-0.22901253600000002
Hammersmith and Fulham,0,53,1272,20,323,90,A3220,PU,N,2010,12/03/2010,51.509000069999999,-0.21893569500000001
