borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Haringey,9,13,388,23,74,17,A103,PU,N,2011,11/05/2011,51.584721620000003,-0.11565576300000001
Haringey,4,4,256,3,56,17,A109,PU,E,2011,07/09/2011,51.598654490000001,-0.071039635000000004
Haringey,11,10,499,17,91,18,A504,PU,E,2011,29/06/2011,51.586848830000001,-0.12495073800000001
Haringey,2,25,676,12,168,66,A1055,PU,N,2011,29/03/2011,51.605670170000003,-0.049368932999999997
Haringey,6,8,266,22,65,19,A10,PU,N,2011,01/11/2011,51.596611359999997,-0.072570062000000005
Haringey,15,18,313,19,105,49,A503,PU,E,2011,06/05/2011,51.578780649999999,-0.081984319
Haringey,8,11,407,72,87,30,A105,PU,N,2011,05/04/2011,51.589908950000002,-0.10273712
Haringey,8,6,250,15,57,16,A504,PU,E,2011,25/03/2011,51.589200290000001,-0.108974186
Haringey,1,6,324,6,40,10,A10,PU,E,2011,31/03/2011,51.600347720000002,-0.081075696000000003
Haringey,7,4,295,17,57,12,A504,PU,E,2011,03/10/2011,51.590990779999998,-0.15365347900000001
Haringey,11,51,1195,35,353,142,A1055,PU,E,2011,18/05/2011,51.588878170000001,-0.067122951
