,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
50040,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,7,6,17,251,11,45,9,333
50041,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,8,5,7,283,12,53,4,359
50042,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,9,6,9,262,14,48,10,343
50043,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,10,3,5,230,11,93,14,353
50044,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,11,3,3,244,9,61,11,328
50045,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,12,8,10,248,12,87,17,374
50046,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,13,4,10,255,9,98,8,380
50047,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,14,2,14,260,9,91,14,388
50048,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,15,9,22,339,10,104,16,491
50049,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,16,9,24,396,11,111,15,557
50050,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,17,11,25,379,10,86,11,511
50051,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,N,2016,17/10/2016,18,28,9,303,15,51,2,380
50052,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,7,24,18,491,12,240,18,779
50053,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,8,9,34,425,15,133,35,642
50054,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,9,4,25,434,10,135,16,620
50055,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,10,3,17,372,10,111,17,527
50056,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,11,1,14,317,10,112,18,471
50057,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,12,2,11,287,10,98,17,423
50058,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,13,7,15,306,10,99,10,440
50059,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,14,5,20,346,11,66,13,456
50060,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,15,3,17,303,12,74,14,420
50061,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,16,8,19,331,10,70,9,439
50062,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,17,11,28,367,11,48,1,455
50063,London,E09000014,Haringey,6627,51.58472162,-0.115655763,A103,PU,S,2016,17/10/2016,18,5,22,383,9,52,2,468
50592,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,7,12,8,450,22,130,17,627
50593,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,8,27,7,873,30,91,16,1017
50594,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,9,9,8,464,27,80,20,599
50595,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,10,4,8,336,18,93,20,475
50596,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,11,9,6,332,23,92,30,483
50597,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,12,4,9,301,16,76,16,418
50598,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,13,13,6,331,20,93,22,472
50599,London,E09000014,Haringey,7215,51.58684883,-0.124950738,A504,PU,E,2016,09/05/2016,14,2,5,322,17,93,16,453
