,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
50520,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,7,1,3,356,21,68,19,467
50521,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,8,4,5,454,24,69,16,568
50522,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,9,6,1,302,33,61,17,414
50523,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,10,3,5,292,30,74,17,418
50524,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,11,0,9,373,24,60,28,494
50525,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,12,0,9,420,25,89,18,561
50526,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,13,2,6,339,27,83,13,468
50527,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,14,4,4,442,36,82,13,577
50528,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,15,3,5,502,23,81,11,622
50529,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,16,5,10,535,25,70,8,648
50530,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,17,13,12,549,22,54,6,643
50531,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,N,2016,22/09/2016,18,5,11,511,26,48,3,599
50532,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,S,2016,22/09/2016,7,5,4,452,28,80,13,577
50533,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,S,2016,22/09/2016,8,9,10,406,32,67,19,534
50534,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,S,2016,22/09/2016,9,2,5,247,29,47,21,349
50535,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,S,2016,22/09/2016,10,1,2,295,30,66,17,410
50536,London,E09000015,Harrow,7063,51.59703996,-0.335663784,A409,PU,S,2016,22/09/2016,11,2,6,327,26,86,23,468
