,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
1212,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,7,1,5,746,50,154,37,992
1213,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,8,1,12,705,10,111,55,893
1214,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,9,1,3,601,11,106,42,763
1215,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,10,0,1,526,10,84,45,666
1216,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,11,1,2,547,12,96,58,715
1217,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,12,1,1,586,10,76,47,720
1218,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,13,1,4,649,13,87,48,801
1219,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,14,1,2,663,19,113,62,859
1220,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,15,2,3,656,9,82,35,785
1221,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,16,4,13,778,14,131,29,965
1222,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,17,2,6,858,9,73,10,956
1223,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,N,2010,20/04/2010,18,1,7,785,8,58,11,869
1224,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,7,7,6,606,12,106,40,770
1225,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,8,5,4,837,14,98,55,1008
1226,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,9,5,4,648,20,80,49,801
1227,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,10,4,2,522,15,75,43,657
1228,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,11,1,2,543,8,71,61,685
1229,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,12,0,5,631,7,102,49,794
1230,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,13,1,11,706,8,98,63,886
1231,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,14,2,4,639,10,109,52,814
1232,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,15,1,6,641,8,102,56,813
1233,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,16,2,3,685,27,124,35,874
1234,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,17,1,13,843,19,90,18,983
1235,London,E09000016,Havering,7889,51.52905792,0.189855961,A125,PU,S,2010,20/04/2010,18,0,11,768,12,72,17,880
2184,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,7,1,7,409,41,73,20,550
2185,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,8,3,12,705,35,104,25,881
2186,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,9,3,6,766,44,58,41,915
2187,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,10,3,7,567,44,71,29,718
2188,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,11,1,5,365,22,26,38,456
2189,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,12,0,18,538,15,37,53,661
2190,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,13,1,13,659,43,64,41,820
2191,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,14,2,10,597,40,82,23,752
2192,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,15,5,3,746,41,84,24,898
2193,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,16,6,10,756,49,66,19,900
2194,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,17,0,0,901,19,28,13,961
2195,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,N,2010,26/04/2010,18,3,20,815,39,23,16,913
2196,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,7,3,6,527,49,94,19,695
2197,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,8,5,5,768,38,66,14,891
2198,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,9,7,6,400,19,43,40,508
2199,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,10,2,7,483,44,80,31,645
2200,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,11,2,11,541,40,75,32,699
2201,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,12,2,6,703,39,92,21,861
2202,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,13,3,4,708,38,70,15,835
2203,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,14,2,6,971,20,24,45,1066
2204,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,15,0,36,956,18,42,27,1079
2205,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,16,2,14,684,48,65,15,826
2206,London,E09000016,Havering,16643,51.58053984,0.177896357,A125,PU,S,2010,26/04/2010,17,2,9,653,35,53,12,762
