borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Havering,1,5,673,13,95,42,A125,PU,N,2010,20/04/2010,51.52905792,0.18985596100000002
Havering,2,9,665,36,61,25,A125,PU,N,2010,26/04/2010,51.58053984,0.177896357
Havering,0,40,2957,17,239,588,M25,TM,N,2010,28/05/2010,51.542584890000001,0.282229799
Havering,2,11,1252,41,117,37,A118,PU,E,2010,21/09/2010,51.579659319999998,0.17785425399999999
Havering,1,29,1322,14,198,67,A12,PU,N,2010,09/07/2010,51.588671679999997,0.17583108100000003
Havering,4,9,461,27,57,16,A124,PU,E,2010,28/04/2010,51.563285989999997,0.16264324699999999
Havering,1,12,909,8,94,41,A125,PU,N,2010,29/04/2010,51.543433649999997,0.19054616199999999
Havering,1,11,1041,23,123,34,A125,PU,N,2010,26/03/2010,51.575679039999997,0.17766395800000001
Havering,0,18,2818,10,327,535,M25,TM,E,2010,11/06/2010,51.589212209999999,0.27070684
Havering,1,25,1554,4,448,349,A13,PR,E,2010,24/06/2010,51.501202990000003,0.21733808100000002
Havering,0,21,1262,11,213,73,A12,PU,E,2010,12/03/2010,51.581076179999997,0.163487878
Havering,0,12,1325,4,199,75,A127,PR,E,2010,17/05/2010,51.574871389999998,0.27287839000000003
Havering,0,1,274,0,83,57,A1306,PR,E,2010,07/07/2010,51.51135833,0.22244311899999999
Havering,1,34,1949,9,403,326,A13,PU,E,2010,27/05/2010,51.514240940000001,0.17905607699999998
