,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
11076,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,7,0,21,4073,24,305,149,4572
11077,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,8,0,70,4920,32,312,189,5523
11078,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,9,0,42,3950,29,370,157,4548
11079,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,10,0,15,3901,31,278,155,4380
11080,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,11,0,48,2978,63,298,195,3582
11081,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,12,0,10,3673,61,273,162,4179
11082,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,13,0,54,3210,52,261,161,3738
11083,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,14,0,48,3075,48,402,198,3771
11084,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,15,0,62,2934,96,606,227,3925
11085,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,16,0,44,3636,102,410,134,4326
11086,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,17,0,39,3849,96,398,125,4507
11087,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,E,2011,27/06/2011,18,0,22,2982,71,372,118,3565
11088,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,7,0,136,3980,36,350,216,4718
11089,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,8,0,122,4135,43,347,233,4880
11090,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,9,0,107,3510,48,378,226,4269
11091,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,10,0,22,3693,32,281,230,4258
11092,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,11,0,43,2854,93,362,203,3555
11093,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,12,0,54,3155,48,483,172,3912
11094,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,13,0,66,2683,35,377,181,3342
11095,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,14,0,60,3304,37,412,189,4002
11096,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,15,0,62,3150,35,542,170,3959
11097,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,16,0,25,4480,31,588,129,5253
11098,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,17,0,36,4315,38,419,130,4938
11099,London,E09000017,Hillingdon,6013,51.49406703,-0.432721583,M4,TM,W,2011,27/06/2011,18,0,46,3873,28,364,162,4473
12120,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,7,0,15,1883,18,234,150,2300
12121,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,8,0,16,1208,14,138,274,1650
12122,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,9,0,8,861,9,98,220,1196
12123,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,10,0,6,649,14,110,209,988
12124,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,11,0,7,543,13,101,158,822
12125,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,12,0,11,782,18,138,141,1090
12126,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,13,0,2,674,11,103,143,933
12127,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,14,0,29,886,17,141,139,1212
12128,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,15,0,44,798,23,194,160,1219
12129,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,16,0,9,895,6,168,139,1217
12130,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,17,0,8,1089,19,289,109,1514
12131,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,E,2011,09/09/2011,18,0,4,1001,4,148,106,1263
12132,London,E09000017,Hillingdon,7969,51.46802337,-0.504160484,A3113,PU,W,2011,09/09/2011,7,0,3,768,8,124,160,1063
