borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hillingdon,0,42,3688,31,591,261,M4,TM,E,2016,20/09/2016,51.494067029999997,-0.43272158299999997
Hillingdon,1,2,443,1,64,6,A404,PU,E,2016,13/10/2016,51.60666749,-0.42740328100000002
Hillingdon,4,53,2701,22,636,210,A40,PU,E,2016,06/07/2016,51.548321540000003,-0.41499311999999999
Hillingdon,5,5,515,24,56,6,A437,PU,N,2016,24/06/2016,51.490498709999997,-0.43486055499999998
Hillingdon,8,10,524,37,69,19,A4,PU,E,2016,22/06/2016,51.481271040000003,-0.41731863799999996
Hillingdon,5,11,1124,13,201,67,A30,PU,E,2016,20/06/2016,51.468058579999997,-0.41777582499999999
Hillingdon,3,3,651,13,90,12,A404,PU,N,2016,01/07/2016,51.615847930000001,-0.44153003700000004
Hillingdon,3,5,343,4,71,25,A4007,PU,E,2016,19/10/2016,51.543880119999997,-0.48725341200000005
Hillingdon,5,26,1537,10,330,84,A312,PU,N,2016,29/06/2016,51.508082940000001,-0.40515004299999996
Hillingdon,4,25,1364,7,304,73,A312,PU,N,2016,13/05/2016,51.519958090000003,-0.39762931100000004
Hillingdon,4,5,662,12,126,45,A4180,PR,N,2016,06/10/2016,51.595282089999998,-0.44145439999999997
Hillingdon,1,44,2478,15,603,189,A40,PU,E,2016,09/09/2016,51.556305899999998,-0.46087606399999997
