borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hounslow,0,33,1590,12,291,54,A316,PU,E,2014,08/05/2014,51.434141510000003,-0.39017451299999995
Hounslow,10,14,582,31,108,25,A312,PU,N,2014,07/05/2014,51.454160739999999,-0.40746163799999996
Hounslow,0,22,1402,9,301,117,A312,PU,N,2014,24/06/2014,51.494973219999999,-0.40985732200000002
Hounslow,0,36,2463,32,391,112,M4,TM,E,2014,22/04/2014,51.495078380000002,-0.34913282499999998
Hounslow,3,64,2366,44,479,90,A4,PU,E,2014,11/07/2014,51.488227459999997,-0.273039904
Hounslow,12,20,1066,9,158,43,A4,PU,E,2014,08/09/2014,51.475845730000003,-0.38870682600000001
Hounslow,3,18,1243,6,288,101,A312,PU,N,2014,21/10/2014,51.490181219999997,-0.41124840799999995
Hounslow,1,36,1835,10,341,77,A316,PU,N,2014,13/05/2014,51.426704100000002,-0.40525175600000002
Hounslow,17,44,936,15,236,40,A4,PU,E,2014,15/09/2014,51.491344169999998,-0.30173186600000002
Hounslow,0,25,255,1,85,14,A4,PU,E,2014,23/10/2014,51.49055165,-0.280053567
Hounslow,10,110,2244,47,563,89,A4,PU,E,2014,26/06/2014,51.489370839999999,-0.24706898100000002
Hounslow,12,28,1152,12,182,43,A4,PU,E,2014,08/09/2014,51.478533120000002,-0.36845117899999996
Hounslow,24,15,367,23,86,14,A315,PU,E,2014,11/09/2014,51.48076665,-0.31652629199999999
Hounslow,2,2,240,0,37,4,A3063,PU,N,2014,10/09/2014,51.48247387,-0.37378328299999997
Hounslow,24,37,1385,15,255,75,A4,PU,E,2014,09/06/2014,51.487147849999999,-0.31629128499999998
