,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
50400,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,7,54,34,710,15,116,16,891
50401,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,8,43,42,701,19,90,13,865
50402,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,9,33,21,641,18,120,20,820
50403,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,10,8,12,563,15,148,29,767
50404,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,11,6,13,551,13,158,19,754
50405,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,12,10,12,491,14,123,29,669
50406,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,13,11,11,519,14,117,37,698
50407,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,14,12,22,463,14,106,17,622
50408,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,15,20,9,532,14,115,31,701
50409,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,16,14,21,573,17,116,4,731
50410,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,17,35,18,604,13,145,3,783
50411,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,N,2016,12/09/2016,18,17,23,408,16,59,4,510
50412,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,7,40,14,564,16,129,28,751
50413,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,8,39,16,509,13,109,16,663
50414,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,9,13,3,387,18,105,20,533
50415,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,10,7,5,381,18,119,31,554
50416,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,11,6,8,548,14,155,28,753
50417,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,12,6,8,564,12,131,27,742
50418,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,13,6,11,464,13,123,28,639
50419,London,E09000018,Hounslow,6890,51.47104496,-0.328402885,A310,PU,S,2016,12/09/2016,14,9,15,528,13,134,20,710
