borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Islington,71,59,597,37,200,57,A1,PU,N,2010,10/06/2010,51.556605470000001,-0.11753935
Islington,58,66,510,46,170,55,A501,PU,E,2010,28/05/2010,51.531530310000001,-0.1128068
Islington,83,35,269,34,87,24,A1,PU,N,2010,09/09/2010,51.5395453,-0.10238096599999999
Islington,59,51,598,65,203,70,A503,PU,N,2010,10/09/2010,51.558672369999996,-0.117454004
Islington,89,83,532,47,179,59,A501,PU,N,2010,15/09/2010,51.527179670000002,-0.088478633000000001
Islington,51,46,560,51,196,67,A503,PU,N,2010,17/03/2010,51.561814839999997,-0.11155324699999999
Islington,26,21,304,31,99,27,A5203,PU,N,2010,20/05/2010,51.551740909999999,-0.120927937
Islington,86,104,771,73,205,61,A501,PU,E,2010,30/06/2010,51.530900129999999,-0.12116626800000001
Islington,85,85,603,64,191,63,A501,PU,N,2010,23/09/2010,51.526541229999999,-0.087928719000000002
Islington,86,55,469,26,152,51,A1,PU,N,2010,09/07/2010,51.548615589999997,-0.10719595400000001
Islington,41,49,498,34,157,47,A1,PU,N,2010,28/09/2010,51.564474480000001,-0.13164263600000001
