,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
42624,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,7,38,14,212,36,79,10,351
42625,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,8,45,11,232,45,66,6,360
42626,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,9,12,14,232,32,57,5,340
42627,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,10,12,7,186,31,75,10,309
42628,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,11,12,13,179,28,65,14,299
42629,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,12,14,6,167,30,49,7,259
42630,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,13,6,7,145,29,56,11,248
42631,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,14,9,10,164,27,41,13,255
42632,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,15,22,20,238,34,47,6,345
42633,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,16,16,8,231,36,46,2,323
42634,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,17,22,8,301,38,40,3,390
42635,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,E,2015,01/06/2015,18,47,12,301,36,38,1,388
42636,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,7,8,6,143,29,30,5,213
42637,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,8,16,3,152,36,40,4,235
42638,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,9,17,7,149,37,48,5,246
42639,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,10,10,7,120,28,60,13,228
42640,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,11,10,9,143,28,56,6,242
42641,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,12,12,5,144,27,47,12,235
42642,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,13,8,7,168,29,43,4,251
42643,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,14,12,7,184,28,41,7,267
42644,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,15,17,5,182,33,51,6,277
42645,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,16,22,10,177,31,58,4,280
42646,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,17,38,18,198,29,51,3,299
42647,London,E09000019,Islington,8507,51.56891415,-0.11125907,A1201,PU,W,2015,01/06/2015,18,79,12,256,29,34,0,331
46596,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,7,89,105,532,61,285,93,1076
46597,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,8,208,127,509,68,188,98,990
46598,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,9,81,125,693,83,184,90,1175
46599,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,10,36,46,690,67,220,89,1112
46600,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,11,30,33,702,61,229,105,1130
46601,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,12,36,45,749,58,275,91,1218
46602,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,13,26,58,761,65,271,60,1215
46603,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,14,35,52,666,70,214,53,1055
46604,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,15,48,65,828,62,282,68,1305
46605,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,16,77,114,903,79,253,38,1387
46606,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,17,120,124,842,67,167,21,1221
46607,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,E,2015,06/10/2015,18,189,142,826,73,106,23,1170
46608,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,7,0,0,0,0,0,0,0
46609,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,8,2,0,0,0,0,0,0
46610,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,9,4,0,0,0,0,0,0
46611,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,10,0,0,0,0,0,0,0
46612,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,11,2,0,0,0,0,0,0
46613,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,12,2,0,0,0,0,0,0
46614,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,13,5,0,0,0,0,0,0
46615,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,14,2,0,0,0,0,0,0
46616,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,15,0,0,0,0,0,0,0
46617,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,16,1,0,0,0,0,0,0
46618,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,17,0,0,0,0,0,0,0
46619,London,E09000019,Islington,38701,51.53090013,-0.121166268,A501,PU,W,2015,06/10/2015,18,2,0,0,0,0,0,0
47628,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,7,43,38,353,28,159,45,623
47629,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,8,78,19,273,27,149,47,515
47630,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,9,51,23,400,35,149,67,674
47631,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,10,20,27,285,30,161,93,596
47632,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,11,39,22,346,33,194,106,701
47633,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,12,30,24,323,35,157,84,623
47634,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,13,28,26,366,29,152,61,634
47635,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,14,60,36,397,27,172,68,700
47636,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,15,66,38,475,36,200,56,805
47637,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,16,78,58,426,30,147,41,702
47638,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,17,189,141,487,26,147,20,821
47639,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,N,2015,24/06/2015,18,291,129,559,37,75,19,819
47640,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,7,214,120,304,43,158,82,707
47641,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,8,340,136,296,35,133,52,652
47642,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,9,222,86,246,41,125,53,551
47643,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,10,66,54,394,29,169,68,714
47644,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,11,59,30,318,42,159,61,610
47645,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,12,47,43,328,32,158,58,619
47646,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,13,37,41,414,32,196,37,720
47647,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,14,47,43,324,30,153,48,598
47648,London,E09000019,Islington,56075,51.54861559,-0.107195954,A1,PU,S,2015,24/06/2015,15,65,32,344,33,137,24,570
