,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
240,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,7,26,222,1032,31,313,79,1677
241,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,8,61,340,1346,0,272,77,2035
242,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,9,33,151,1193,49,273,60,1726
243,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,10,26,76,1156,54,277,53,1616
244,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,11,11,63,1064,34,240,52,1453
245,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,12,58,14,1041,33,230,47,1365
246,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,13,15,53,960,38,174,56,1281
247,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,14,21,51,978,37,169,45,1280
248,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,15,21,49,930,30,146,23,1178
249,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,16,14,63,1114,38,119,17,1351
250,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,17,15,67,1038,37,92,11,1245
251,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,E,2010,16/03/2010,18,76,38,1303,37,80,14,1472
252,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,W,2010,16/03/2010,7,10,33,680,18,130,42,903
253,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,W,2010,16/03/2010,8,25,43,896,27,158,56,1180
254,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,W,2010,16/03/2010,9,13,40,728,29,143,52,992
255,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,W,2010,16/03/2010,10,3,30,720,43,210,60,1063
256,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,W,2010,16/03/2010,11,5,30,814,27,214,51,1136
257,London,E09000020,Kensington and Chelsea,6121,51.49474235,-0.186357483,A4,PU,W,2010,16/03/2010,12,5,44,740,23,220,51,1078
