borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Kensington and Chelsea,16,80,1101,22,173,43,A4,PU,E,2011,13/06/2011,51.494742350000003,-0.18635748300000002
Kensington and Chelsea,54,28,363,28,73,14,A3217,PU,E,2011,28/06/2011,51.486071119999998,-0.172298173
Kensington and Chelsea,54,50,483,46,110,36,A402,PU,E,2011,13/07/2011,51.509142169999997,-0.19587316199999999
Kensington and Chelsea,42,58,1099,54,303,77,A3220,PU,W,2011,24/06/2011,51.489932770000003,-0.19519110399999998
Kensington and Chelsea,41,77,417,42,114,35,A4,PU,N,2011,12/07/2011,51.49916941,-0.164570454
Kensington and Chelsea,23,44,902,29,232,84,A3220,PU,N,2011,10/06/2011,51.498040080000003,-0.20783728300000001
Kensington and Chelsea,8,17,343,53,101,18,A4204,PU,N,2011,09/06/2011,51.505019849999996,-0.19387458399999999
Kensington and Chelsea,16,109,1302,43,263,80,A4,PU,E,2011,13/07/2011,51.493971180000003,-0.197581443
Kensington and Chelsea,25,48,789,29,225,81,A3220,PU,N,2011,23/09/2011,51.503272510000002,-0.21483639100000002
Kensington and Chelsea,75,68,617,20,173,75,A3212,PU,E,2011,08/04/2011,51.483060539999997,-0.16953805199999999
Kensington and Chelsea,49,106,721,49,200,60,A4,PU,E,2011,10/10/2011,51.496538399999999,-0.169992222
