borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Kingston upon Thames,1,54,3313,9,577,123,A3,PU,N,2010,11/06/2010,51.396703860000002,-0.24770980000000001
Kingston upon Thames,1,51,4137,7,182,5,A3,PU,N,2010,04/05/2010,51.373397789999999,-0.291731984
Kingston upon Thames,4,44,2011,145,212,60,A308,PU,W,2010,24/06/2010,51.41232686,-0.29732760399999997
Kingston upon Thames,7,37,746,194,44,8,A308,PU,E,2010,05/05/2010,51.410552289999998,-0.29897526299999999
Kingston upon Thames,1,67,2069,18,264,104,A3,PU,N,2010,08/06/2010,51.43403481,-0.25695683600000002
Kingston upon Thames,7,10,562,11,81,17,A2043,PU,N,2010,28/04/2010,51.382378330000002,-0.24828572300000001
Kingston upon Thames,2,65,3531,18,723,231,A3,PU,N,2010,26/05/2010,51.391849299999997,-0.26229765700000002
Kingston upon Thames,23,30,1623,45,229,64,A308,PU,S,2010,22/03/2010,51.412916180000003,-0.30075695099999999
Kingston upon Thames,14,50,1858,40,157,70,A308,PU,E,2010,24/05/2010,51.412792619999998,-0.30464416500000002
Kingston upon Thames,0,28,3099,12,700,220,A3,PR,E,2010,16/06/2010,51.375538640000002,-0.30602074400000001
Kingston upon Thames,7,21,1503,21,237,89,A240,PU,E,2010,06/07/2010,51.375883819999999,-0.27727086699999998
Kingston upon Thames,9,8,390,27,25,8,A307,PU,E,2010,22/06/2010,51.407130389999999,-0.30485358200000001
Kingston upon Thames,4,2,130,0,10,5,A3210,PU,N,2010,26/04/2010,51.386085010000002,-0.29844546999999999
Kingston upon Thames,1,30,2954,9,465,154,A3,PU,N,2010,07/05/2010,51.382269219999998,-0.27731853400000001
