,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
50376,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,7,17,9,411,11,106,8,545
50377,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,8,25,18,358,2,48,12,438
50378,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,9,14,11,220,9,51,8,299
50379,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,10,7,7,388,9,74,16,494
50380,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,11,7,9,351,8,76,10,454
50381,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,12,1,6,245,8,49,14,322
50382,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,13,8,13,304,9,79,7,412
50383,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,14,2,5,290,10,57,10,372
50384,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,15,7,5,312,16,47,9,389
50385,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,16,6,9,341,10,33,9,402
50386,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,17,8,16,390,7,38,6,457
50387,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,N,2016,12/10/2016,18,7,9,346,13,30,1,399
50388,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,7,2,11,357,7,63,19,457
50389,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,8,5,10,319,4,47,10,390
50390,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,9,2,3,240,13,66,9,331
50391,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,10,2,5,246,10,58,16,335
50392,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,11,2,8,264,5,62,19,358
50393,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,12,5,7,338,13,82,6,446
50394,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,13,12,7,382,13,63,14,479
50395,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,14,6,9,438,11,89,12,559
50396,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,15,11,7,396,12,66,9,490
50397,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,16,10,16,460,11,81,9,577
50398,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,17,22,16,437,6,46,2,507
50399,London,E09000021,Kingston upon Thames,6807,51.39856918,-0.301101776,A240,PU,S,2016,12/10/2016,18,22,29,456,12,35,4,536
50856,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,7,7,158,2926,17,984,88,4173
50857,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,8,6,127,3275,12,773,125,4312
50858,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,9,2,66,2833,14,702,141,3756
50859,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,10,0,21,2179,8,673,121,3002
50860,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,11,1,13,2141,9,613,102,2878
50861,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,12,0,27,2071,6,476,106,2686
50862,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,13,1,33,2144,11,462,67,2717
50863,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,14,0,28,2098,15,503,94,2738
50864,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,15,3,28,2243,16,439,76,2802
50865,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,16,4,27,2702,7,459,38,3233
50866,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,17,2,63,3318,12,420,31,3844
50867,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,E,2016,20/06/2016,18,2,55,3171,7,328,19,3580
50868,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,W,2016,20/06/2016,7,1,53,2699,7,567,70,3396
50869,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,W,2016,20/06/2016,8,8,40,2556,14,422,86,3118
50870,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,W,2016,20/06/2016,9,0,12,2089,10,529,114,2754
50871,London,E09000021,Kingston upon Thames,8476,51.39670386,-0.2477098,A3,PU,W,2016,20/06/2016,10,0,35,2088,19,613,123,2878
