borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Lambeth,133,72,327,25,156,33,A3036,PU,N,2012,23/05/2012,51.490413590000003,-0.12271598800000001
Lambeth,133,52,272,15,96,23,A3,PU,N,2012,27/09/2012,51.47949801,-0.114955425
Lambeth,9,28,517,4,112,26,A205,PU,E,2012,11/09/2012,51.443012179999997,-0.116458221
Lambeth,88,68,381,46,93,26,A3200,PU,N,2012,22/05/2012,51.50378499,-0.115394232
Lambeth,72,61,830,35,249,48,A3204,PU,E,2012,13/09/2012,51.486412420000001,-0.119941995
Lambeth,28,32,496,78,133,51,A23,PU,N,2012,13/07/2012,51.432511409999996,-0.128974914
Lambeth,133,49,257,102,69,22,A301,PU,N,2012,03/05/2012,51.503724769999998,-0.11165035500000001
Lambeth,25,12,249,26,69,21,A2217,PU,E,2012,25/09/2012,51.459688120000003,-0.13016693800000001
Lambeth,58,30,398,105,135,30,A23,PU,N,2012,01/05/2012,51.463310489999998,-0.114902738
Lambeth,82,101,819,24,289,85,A3036,PU,N,2012,09/07/2012,51.485500870000003,-0.12479019500000001
Lambeth,40,147,1403,65,549,157,A202,PU,E,2012,15/06/2012,51.486153690000002,-0.12231481499999999
Lambeth,116,63,315,33,139,27,A3,PU,N,2012,10/05/2012,51.465170020000002,-0.12994285799999999
Lambeth,73,31,236,34,70,13,A23,PU,N,2012,16/03/2012,51.48573305,-0.111241478
Lambeth,39,54,653,44,148,50,A23,PU,N,2012,27/09/2012,51.424893299999994,-0.13058067199999998
Lambeth,24,22,297,26,90,17,A215,PU,N,2012,29/05/2012,51.44871139,-0.101831937
Lambeth,11,9,270,49,69,16,A204,PU,S,2012,24/09/2012,51.459902500000005,-0.11547502300000001
