,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
42528,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,7,2,0,0,0,0,0,0
42529,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,8,0,0,0,0,0,0,0
42530,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,9,2,0,0,0,0,0,0
42531,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,10,0,0,0,0,0,0,0
42532,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,11,0,0,0,0,0,0,0
42533,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,12,0,0,0,0,0,0,0
42534,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,13,0,0,0,0,0,0,0
42535,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,14,0,0,0,0,0,0,0
42536,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,15,0,0,0,0,0,0,0
42537,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,16,2,0,0,0,0,0,0
42538,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,17,0,0,0,0,0,0,0
42539,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,S,2015,09/10/2015,18,2,0,0,0,0,0,0
42540,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,7,190,93,673,34,343,39,1182
42541,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,8,297,104,612,17,294,51,1078
42542,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,9,201,53,582,13,283,55,986
42543,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,10,103,32,469,13,248,58,820
42544,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,11,44,30,488,18,256,71,863
42545,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,12,34,26,556,27,263,74,946
42546,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,13,29,27,478,28,234,54,821
42547,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,14,25,20,478,25,196,45,764
42548,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,15,29,28,507,29,170,27,761
42549,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,16,44,59,605,23,105,25,817
42550,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,17,50,54,640,20,121,29,864
42551,London,E09000022,Lambeth,8478,51.48570711,-0.120820806,A202,PU,W,2015,09/10/2015,18,53,51,660,23,97,19,850
45504,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,7,1233,339,498,92,328,92,1349
45505,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,8,2096,408,567,91,246,57,1369
45506,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,9,733,192,475,96,239,68,1070
45507,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,10,181,77,423,71,192,68,831
45508,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,11,99,74,438,56,208,70,846
45509,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,12,91,47,489,56,176,71,839
45510,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,13,85,69,498,69,203,71,910
45511,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,14,53,53,474,56,207,82,872
45512,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,15,65,66,578,75,228,47,994
45513,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,16,87,82,469,75,198,59,883
45514,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,17,121,106,573,63,182,32,956
45515,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,N,2015,14/10/2015,18,165,77,717,61,154,19,1028
45516,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,7,72,70,535,55,245,78,983
45517,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,8,75,42,463,69,260,103,937
45518,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,9,59,39,460,65,234,88,886
45519,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,10,36,41,491,68,266,81,947
45520,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,11,39,40,511,65,286,110,1012
45521,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,12,59,40,433,65,289,108,935
45522,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,13,56,60,505,61,285,88,999
45523,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,14,72,61,529,65,285,93,1033
45524,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,15,114,101,566,66,271,62,1066
45525,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,16,267,175,653,74,277,63,1242
45526,London,E09000022,Lambeth,36109,51.48392182,-0.110452149,A3,PU,S,2015,14/10/2015,17,1254,335,628,77,273,19,1332
