borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Lewisham,34,44,450,30,127,57,A2,PU,E,2010,02/09/2010,51.475382160000002,-0.028723795
Lewisham,11,16,572,14,125,25,A212,PU,E,2010,07/10/2010,51.426630799999998,-0.054989360000000001
Lewisham,28,52,722,29,210,101,A2,PU,E,2010,14/09/2010,51.474386629999998,-0.023006717000000003
Lewisham,8,12,359,22,75,14,A2216,PU,N,2010,30/09/2010,51.430930660000001,-0.059410350000000001
Lewisham,5,9,590,10,115,23,A2218,PU,E,2010,29/06/2010,51.427063480000001,-0.016418967999999999
Lewisham,58,93,696,84,221,94,A2,PU,E,2010,28/09/2010,51.475750789999999,-0.034612070000000002
Lewisham,33,26,614,67,132,36,A21,PU,N,2010,12/05/2010,51.457407449999998,-0.013376331999999999
Lewisham,32,48,721,47,167,48,A20,PU,E,2010,22/10/2010,51.464331639999997,-0.013363551000000001
Lewisham,17,26,789,30,145,34,A21,PU,N,2010,27/04/2010,51.427978889999999,-0.0120637
Lewisham,3,30,891,7,234,87,A205,PU,E,2010,26/04/2010,51.447339960000001,0.018999343000000002
Lewisham,5,10,385,11,79,18,A212,PU,E,2010,03/09/2010,51.427965139999998,-0.059535999999999999
Lewisham,10,42,988,40,205,81,A205,PU,W,2010,28/06/2010,51.443916270000003,-0.018566843
Lewisham,24,34,450,105,111,39,A20,PU,N,2010,29/09/2010,51.463204509999997,-0.010533203999999999
Lewisham,23,34,779,75,184,56,A205,PU,E,2010,01/07/2010,51.444708009999999,-0.022849767000000003
