,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
36888,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,7,21,22,649,24,159,37,891
36889,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,8,31,20,777,23,124,41,985
36890,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,9,6,15,608,27,150,64,864
36891,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,10,7,12,480,25,124,67,708
36892,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,11,5,21,493,30,171,63,778
36893,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,12,9,14,459,28,171,78,750
36894,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,13,9,21,522,25,196,78,842
36895,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,14,9,20,498,27,194,70,809
36896,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,15,19,29,690,29,252,59,1059
36897,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,16,25,43,695,25,213,46,1022
36898,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,17,64,68,797,29,211,29,1134
36899,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,E,2014,23/09/2014,18,61,55,847,27,138,24,1091
36900,London,E09000023,Lewisham,6756,51.44054611,-0.059002792,A205,PU,W,2014,23/09/2014,7,60,53,518,33,294,78,976
