borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Merton,13,21,503,38,108,30,A217,PU,N,2013,23/10/2013,51.407340910000002,-0.16364864699999998
Merton,2,7,402,2,75,41,A239,PU,E,2013,20/03/2013,51.399391809999997,-0.16137932199999999
Merton,6,12,476,7,96,17,A298,PU,E,2013,04/09/2013,51.407828729999999,-0.21855595
Merton,35,29,307,21,104,41,A24,PU,N,2013,06/09/2013,51.421095379999997,-0.17489142399999999
Merton,6,12,326,13,83,15,A216,PU,N,2013,11/06/2013,51.414484909999999,-0.15473384400000001
Merton,4,4,163,3,36,6,A239,PU,N,2013,25/06/2013,51.397055190000003,-0.161473014
Merton,1,64,2762,13,507,115,A3,PU,N,2013,26/04/2013,51.397893689999997,-0.24549362600000002
Merton,3,22,675,26,118,31,A297,PU,N,2013,18/10/2013,51.401546690000004,-0.19004652800000002
Merton,10,17,515,11,142,36,A237,PU,N,2013,04/10/2013,51.392534560000001,-0.15877944099999999
Merton,18,31,900,19,174,22,A24,PU,N,2013,20/09/2013,51.406069090000003,-0.19173713899999997
Merton,0,64,1818,12,297,99,A3,PU,N,2013,11/09/2013,51.406836499999997,-0.242175048
Merton,23,17,388,24,76,27,A217,PU,N,2013,16/09/2013,51.414595579999997,-0.16177604700000001
Merton,23,24,615,33,127,35,A236,PU,N,2013,23/09/2013,51.402095959999997,-0.16063828800000002
