,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
51960,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,7,21,34,429,33,172,11,679
51961,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,8,20,30,567,26,130,15,768
51962,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,9,7,18,402,36,121,18,595
51963,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,10,5,11,382,32,121,15,561
51964,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,11,4,13,360,29,92,18,512
51965,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,12,4,10,498,28,104,15,655
51966,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,13,8,8,515,33,99,11,666
51967,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,14,6,13,403,34,89,9,548
51968,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,15,5,20,401,26,56,5,508
51969,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,16,9,14,444,36,86,9,589
51970,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,17,18,32,510,48,92,2,684
51971,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,N,2016,06/05/2016,18,11,15,469,31,57,1,573
51972,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,S,2016,06/05/2016,7,19,14,466,35,131,12,658
51973,London,E09000024,Merton,19029,51.40339792,-0.165675656,A217,PU,S,2016,06/05/2016,8,21,10,657,33,123,13,836
