borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Newham,59,57,1252,135,222,77,A11,PU,S,2013,04/09/2013,51.539979889999998,0.00028333200000000002
Newham,0,108,1866,16,581,256,A13,PU,E,2013,09/07/2013,51.520157399999995,0.045281650999999999
Newham,106,46,590,58,112,29,A118,PU,W,2013,23/04/2013,51.54139086,0.0029698649999999999
Newham,0,9,773,10,116,90,A1020,PU,N,2013,25/10/2013,51.517700159999997,0.072557836000000001
Newham,0,17,1985,13,452,184,A406,PU,N,2013,05/07/2013,51.551690049999998,0.067611415999999994
Newham,12,2,165,7,25,14,A112,PU,N,2013,26/06/2013,51.549945719999997,-0.0030009059999999998
Newham,1,4,232,10,33,8,A117,PU,N,2013,02/10/2013,51.511871329999998,0.066528450000000003
Newham,7,4,170,22,43,24,A1011,PU,N,2013,25/09/2013,51.512757669999999,0.010360882
Newham,63,22,537,33,66,30,A11,PU,N,2013,21/10/2013,51.537880039999997,-0.0020871150000000001
Newham,3,92,1856,11,453,310,A13,PU,E,2013,01/10/2013,51.516882150000001,0.016307888
Newham,0,90,2255,11,481,283,A13,PU,E,2013,29/04/2013,51.520749989999999,0.059722983
Newham,17,7,251,32,25,7,A124,PU,E,2013,03/07/2013,51.519577910000002,0.016426956
Newham,41,18,774,39,77,30,A11,PU,S,2013,18/04/2013,51.542277140000003,0.003729858
Newham,0,33,1902,7,462,293,A406,PU,N,2013,16/09/2013,51.532643640000003,0.071679353000000001
Newham,0,112,1963,5,462,243,A13,PU,E,2013,07/05/2013,51.514817549999997,0.0050756000000000004
Newham,12,12,508,31,56,22,A124,PU,E,2013,10/07/2013,51.532791209999999,0.053057214000000005
