,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
37368,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,7,10,59,1697,20,350,183,2309
37369,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,8,4,37,2016,4,353,370,2780
37370,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,9,6,17,1687,4,419,408,2535
37371,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,10,2,19,1625,4,545,460,2653
37372,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,11,0,19,1694,12,569,442,2736
37373,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,12,1,18,1997,2,572,316,2905
37374,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,13,5,38,2039,13,650,440,3180
37375,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,14,3,36,2263,12,737,480,3528
37376,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,15,4,62,2562,31,665,427,3747
37377,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,16,4,122,2627,34,641,250,3674
37378,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,17,28,223,2452,34,530,139,3378
37379,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,E,2014,06/10/2014,18,38,203,2728,10,791,107,3839
37380,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,7,43,232,2221,15,1015,435,3918
37381,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,8,27,202,2813,18,939,370,4342
37382,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,9,11,110,2526,23,840,510,4009
37383,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,10,6,56,1819,20,923,496,3314
37384,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,11,4,28,1819,12,707,516,3082
37385,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,12,5,25,1856,9,552,382,2824
37386,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,13,1,39,1902,9,539,416,2905
37387,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,14,1,32,2114,11,525,366,3048
37388,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,15,11,24,1952,16,489,247,2728
37389,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,16,17,37,1900,13,488,72,2510
37390,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,17,9,67,2343,7,318,41,2776
37391,London,E09000025,Newham,16202,51.5201574,0.045281651,A13,PU,W,2014,06/10/2014,18,2,38,2473,4,401,89,3005
37812,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,7,3,11,323,12,108,51,505
37813,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,8,0,3,307,14,106,90,520
37814,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,9,0,1,307,15,100,90,513
37815,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,10,3,12,412,11,121,85,641
37816,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,11,1,9,584,14,123,84,814
37817,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,12,0,9,558,12,99,58,736
37818,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,13,2,14,912,16,120,80,1142
37819,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,14,2,8,856,16,128,74,1082
37820,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,15,0,15,773,23,159,69,1039
37821,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,16,0,22,1196,24,181,71,1494
37822,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,17,1,33,1247,23,179,43,1525
37823,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,N,2014,18/06/2014,18,0,16,1086,20,133,34,1289
37824,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,7,0,24,1362,9,344,109,1848
37825,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,8,1,16,1361,16,180,98,1671
37826,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,9,1,13,1319,14,145,121,1612
37827,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,10,0,9,983,13,149,94,1248
37828,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,11,0,6,732,16,155,96,1005
37829,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,12,0,2,964,11,109,81,1167
37830,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,13,0,5,1047,16,92,97,1257
37831,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,14,0,8,649,18,103,74,852
37832,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,15,0,7,843,11,110,75,1046
37833,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,16,1,9,757,6,103,57,932
37834,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,17,0,9,1058,13,95,52,1227
37835,London,E09000025,Newham,18728,51.51770016,0.072557836,A1020,PU,S,2014,18/06/2014,18,0,11,1247,11,85,47,1401
39360,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,7,9,54,1827,7,380,173,2441
39361,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,8,4,51,2182,4,343,289,2869
39362,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,9,4,21,1623,3,320,349,2316
39363,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,10,6,35,1797,8,418,322,2580
39364,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,11,1,18,1698,11,693,359,2779
39365,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,12,3,33,1597,6,728,424,2788
39366,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,13,5,54,1599,5,747,340,2745
39367,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,14,10,74,2235,4,822,292,3427
39368,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,15,17,120,2844,23,1087,387,4461
39369,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,16,28,189,3527,15,874,317,4922
39370,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,17,64,311,3702,11,990,148,5162
39371,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,E,2014,03/09/2014,18,68,326,3842,15,702,99,4984
39372,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,7,57,420,2097,14,1440,335,4306
39373,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,8,56,357,2536,13,1335,310,4551
39374,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,9,13,206,2204,23,1194,565,4192
39375,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,10,1,94,1915,44,601,391,3045
39376,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,11,8,35,1661,18,583,266,2563
39377,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,12,3,19,1653,8,726,317,2723
39378,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,13,6,35,1629,17,643,359,2683
39379,London,E09000025,Newham,46217,51.51688215,0.016307888,A13,PU,W,2014,03/09/2014,14,10,22,1740,15,540,346,2663
