borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Redbridge,13,9,551,7,76,13,A104,PU,N,2015,01/07/2015,51.619924320000003,0.027517590000000001
Redbridge,0,45,3281,18,889,312,A406,PU,E,2015,07/07/2015,51.595507859999998,0.019788316
Redbridge,7,17,1316,17,149,35,A104,PU,N,2015,06/05/2015,51.606754899999999,0.019420955
Redbridge,0,54,1581,13,493,179,A12,PU,E,2015,08/06/2015,51.573428219999997,0.022561502999999997
Redbridge,1,3,428,31,50,12,A123,PU,N,2015,05/10/2015,51.590370129999997,0.082216211999999997
Redbridge,2,40,1532,18,254,78,A12,PU,E,2015,02/10/2015,51.575195290000003,0.091047733000000006
Redbridge,1,45,1914,29,545,181,A12,PU,E,2015,21/09/2015,51.577172490000002,0.034851115000000002
Redbridge,0,31,2328,12,573,271,A406,PU,N,2015,22/05/2015,51.57208189,0.048333212
Redbridge,0,50,2821,18,784,422,A406,PU,N,2015,11/05/2015,51.581300579999997,0.040520421000000001
Redbridge,0,6,756,4,226,83,M11,TM,E,2015,23/04/2015,51.594040489999998,0.037048745000000001
Redbridge,0,21,1418,4,384,219,A406,PU,E,2015,22/10/2015,51.594458950000003,0.034179851000000004
