borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Richmond upon Thames,20,17,684,23,126,52,A205,PU,E,2010,08/07/2010,51.486641079999998,-0.28750323500000002
Richmond upon Thames,10,51,883,13,158,50,A316,PU,N,2010,07/07/2010,51.470702009999997,-0.27370173800000003
Richmond upon Thames,6,6,387,2,43,10,A313,PU,E,2010,17/03/2010,51.430597280000001,-0.36152788499999999
Richmond upon Thames,7,8,380,7,48,8,A3004,PU,N,2010,30/06/2010,51.454343020000003,-0.31749850200000002
Richmond upon Thames,15,19,1198,16,136,49,A309,PU,E,2010,06/10/2010,51.403800099999998,-0.342357617
Richmond upon Thames,11,15,849,12,85,19,A305,PU,E,2010,07/10/2010,51.456375860000001,-0.30878747600000001
Richmond upon Thames,6,10,488,3,109,18,A205,PU,E,2010,15/09/2010,51.466700000000003,-0.27673220100000001
Richmond upon Thames,20,23,1100,41,113,71,A305,PU,N,2010,23/09/2010,51.445879400000003,-0.32932198100000004
Richmond upon Thames,9,37,804,63,99,50,A316,PU,E,2010,29/04/2010,51.467249109999997,-0.289669065
Richmond upon Thames,2,4,483,10,79,33,A308,PU,E,2010,05/10/2010,51.406553930000001,-0.333631177
Richmond upon Thames,24,18,332,40,37,23,A307,PU,E,2010,27/05/2010,51.459034760000002,-0.30609816300000003
