,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
36960,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,7,39,180,1411,23,424,33,2071
36961,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,8,46,214,1356,13,254,34,1871
36962,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,9,19,116,1085,18,210,33,1462
36963,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,10,7,36,990,12,198,40,1276
36964,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,11,10,26,840,8,207,25,1106
36965,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,12,12,36,712,12,171,29,960
36966,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,13,7,24,715,9,144,23,915
36967,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,14,17,36,678,13,159,30,916
36968,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,15,9,31,905,16,159,22,1133
36969,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,16,10,40,1088,13,213,20,1374
36970,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,17,22,56,1311,20,164,4,1555
36971,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,N,2014,23/09/2014,18,16,44,1274,17,109,10,1454
36972,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,S,2014,23/09/2014,7,15,32,804,9,199,21,1065
36973,London,E09000027,Richmond upon Thames,6902,51.47070201,-0.273701738,A316,PU,S,2014,23/09/2014,8,34,34,744,12,168,22,980
