,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
504,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,7,14,43,816,0,181,19,1059
505,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,8,18,72,762,0,161,19,1014
506,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,9,7,39,585,1,160,21,806
507,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,10,1,23,457,0,206,21,707
508,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,11,6,35,514,0,211,22,782
509,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,12,3,25,477,0,243,19,764
510,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,13,1,30,606,1,237,28,902
511,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,14,6,34,553,0,265,27,879
512,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,15,2,43,584,0,320,33,980
513,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,16,15,40,766,0,339,20,1165
514,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,17,11,50,736,0,214,10,1010
515,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,N,2010,22/06/2010,18,11,38,729,0,137,3,907
516,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,7,7,34,576,0,383,34,1027
517,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,8,11,45,673,0,270,13,1001
518,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,9,1,20,558,0,188,18,784
519,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,10,4,25,459,0,219,20,723
520,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,11,3,22,474,0,147,15,658
521,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,12,1,11,436,1,176,25,649
522,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,13,4,30,500,0,170,19,719
523,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,14,3,26,442,0,138,7,613
524,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,15,4,24,510,0,122,14,670
525,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,16,13,37,725,0,155,11,928
526,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,17,18,56,882,0,166,10,1114
527,London,E09000028,Southwark,6748,51.50270188,-0.049158365,A101,PU,S,2010,22/06/2010,18,12,69,861,0,122,6,1058
1368,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,7,43,12,105,4,63,17,201
1369,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,8,45,31,191,7,75,29,333
1370,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,9,40,16,219,12,105,24,376
1371,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,10,15,19,176,7,123,40,365
1372,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,11,19,12,195,8,100,30,345
1373,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,12,22,24,211,8,153,32,428
1374,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,13,21,36,257,9,162,24,488
1375,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,14,18,25,238,6,119,31,419
1376,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,15,29,34,295,9,156,40,534
1377,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,16,43,37,278,8,197,15,535
1378,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,17,112,52,290,8,150,16,516
1379,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,E,2010,06/09/2010,18,72,41,264,7,124,7,443
1380,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,7,71,35,145,7,109,25,321
1381,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,8,134,52,174,7,108,15,356
1382,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,9,62,27,144,6,99,21,297
1383,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,10,19,9,117,7,76,19,228
1384,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,11,12,12,92,6,54,9,173
1385,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,12,14,11,112,6,66,12,207
1386,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,13,21,11,112,7,68,16,214
1387,London,E09000028,Southwark,8095,51.49898168,-0.085336405,A2198,PU,W,2010,06/09/2010,14,8,8,118,6,39,12,183
