borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Southwark,175,26,109,37,52,11,A200,PU,E,2015,08/10/2015,51.503836100000001,-0.080838995999999996
Southwark,26,14,377,33,94,20,A2216,PU,N,2015,01/10/2015,51.46005925,-0.075305545000000002
Southwark,134,56,238,25,100,23,A201,PU,N,2015,30/09/2015,51.504060269999997,-0.104575979
Southwark,89,13,72,10,32,21,A300,PU,N,2015,10/09/2015,51.500817100000006,-0.098659108000000009
Southwark,34,62,251,44,93,37,A302,PU,E,2015,14/10/2015,51.496750749999997,-0.10633432599999999
Southwark,45,41,272,6,116,47,A3201,PU,E,2015,23/09/2015,51.502021470000003,-0.095295006999999987
Southwark,76,34,330,27,136,40,A100,PU,N,2015,21/04/2015,51.497809140000001,-0.079622635999999997
Southwark,65,27,571,30,137,27,A215,PU,N,2015,19/05/2015,51.452748370000002,-0.10123269900000001
Southwark,60,29,346,72,90,29,A215,PU,N,2015,14/05/2015,51.472851380000002,-0.093198403000000013
Southwark,272,88,392,85,156,35,A3,PU,N,2015,10/07/2015,51.505077729999996,-0.089691934000000001
Southwark,142,104,783,127,253,85,A3,PU,N,2015,02/06/2015,51.494554530000002,-0.100648457
Southwark,29,60,186,49,107,22,A302,PU,E,2015,14/10/2015,51.497777370000001,-0.10865455800000001
Southwark,151,25,156,43,47,17,A200,PU,E,2015,08/06/2015,51.506069869999997,-0.087114301999999991
Southwark,102,54,427,23,184,45,A100,PU,N,2015,24/06/2015,51.501737210000002,-0.077872571000000002
Southwark,114,33,222,26,88,17,A3200,PU,E,2015,29/09/2015,51.504670599999997,-0.092302656999999996
Southwark,19,17,460,16,146,31,A2208,PU,E,2015,14/09/2015,51.490994950000001,-0.053576384999999997
Southwark,70,35,307,88,88,23,A215,PU,N,2015,15/09/2015,51.475554359999997,-0.093517691999999999
