,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
33924,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,7,15,18,614,17,101,19,769
33925,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,8,8,15,647,14,83,17,776
33926,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,9,2,13,588,16,87,11,715
33927,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,10,5,16,431,18,82,16,563
33928,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,11,2,12,388,16,77,23,516
33929,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,12,0,8,421,13,69,8,519
33930,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,13,0,5,462,16,85,9,577
33931,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,14,0,3,528,18,77,10,636
33932,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,15,2,5,483,19,81,14,602
33933,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,16,7,11,563,21,89,7,691
33934,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,17,10,15,583,17,73,8,696
33935,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,E,2013,02/05/2013,18,8,17,530,19,81,7,654
33936,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,7,13,27,586,18,119,15,765
33937,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,8,7,14,401,13,83,12,523
33938,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,9,5,11,419,17,78,12,537
33939,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,10,2,8,413,19,81,11,532
33940,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,11,3,7,382,18,93,19,519
33941,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,12,0,4,442,15,98,13,572
33942,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,13,0,8,433,13,67,15,536
33943,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,14,1,13,535,21,79,19,667
33944,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,15,4,16,563,19,82,20,700
33945,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,16,7,21,580,17,93,11,722
33946,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,17,11,16,613,18,99,6,752
33947,London,E09000029,Sutton,48551,51.35823407,-0.214390651,A232,PU,W,2013,02/05/2013,18,6,18,571,16,73,9,687
