borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Tower Hamlets,0,16,1360,13,392,204,A12,PU,N,2011,18/03/2011,51.518228460000003,-0.0098659190000000008
Tower Hamlets,21,83,809,25,208,63,A13,PU,E,2011,03/05/2011,51.511304340000002,-0.0098794699999999996
Tower Hamlets,77,61,439,3,134,32,A1202,PU,S,2011,21/03/2011,51.513757669999997,-0.070592814000000004
Tower Hamlets,28,113,698,32,237,84,A3211,PU,E,2011,04/10/2011,51.509615949999997,-0.075754014000000008
Tower Hamlets,2,40,578,10,162,59,A1206,PU,N,2011,16/05/2011,51.509544310000003,-0.010028228
Tower Hamlets,15,79,1171,12,357,188,A13,PU,E,2011,22/03/2011,51.513721580000002,0.0013234689999999999
Tower Hamlets,0,94,1983,29,604,247,A12,PU,E,2011,29/09/2011,51.531645480000002,-0.018364195999999999
Tower Hamlets,11,94,735,20,286,141,A1203,PU,E,2011,19/10/2011,51.509654169999997,-0.058430334
Tower Hamlets,0,108,1261,26,364,143,A1203,PU,E,2011,14/09/2011,51.510734480000004,-0.040658364000000002
Tower Hamlets,1,79,1587,17,426,257,A1261,PU,E,2011,20/10/2011,51.5072318,-0.013659535
Tower Hamlets,66,42,394,25,99,42,A11,PU,E,2011,23/06/2011,51.519895329999997,-0.055630853000000001
Tower Hamlets,12,31,934,20,264,160,A13,PU,E,2011,15/06/2011,51.511692500000002,-0.0062596040000000002
Tower Hamlets,13,23,376,9,101,41,A1203,PU,N,2011,21/06/2011,51.511890309999998,-0.042021124999999999
Tower Hamlets,3,55,798,17,233,102,A1203,PU,E,2011,18/03/2011,51.50887625,-0.025837262000000003
Tower Hamlets,0,51,1857,11,545,203,A12,PU,N,2011,04/04/2011,51.538284999999995,-0.026006896000000002
