,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
26952,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,7,0,31,2308,18,507,138,3002
26953,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,8,0,26,2196,15,508,155,2900
26954,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,9,0,23,2100,12,475,150,2760
26955,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,10,0,18,1503,13,412,131,2077
26956,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,11,0,19,1444,8,455,144,2070
26957,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,12,0,16,1305,9,480,192,2002
26958,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,13,0,33,1175,12,447,186,1853
26959,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,14,0,61,1457,9,508,192,2227
26960,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,15,0,37,1425,15,538,218,2233
26961,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,16,0,65,1329,7,411,86,1898
26962,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,17,0,45,1202,8,298,59,1612
26963,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,N,2013,18/03/2013,18,0,41,1089,5,303,42,1480
26964,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,7,3,69,1465,19,762,160,2475
26965,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,8,0,51,1471,15,697,163,2397
26966,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,9,0,44,1466,20,543,160,2233
26967,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,10,1,21,1488,12,372,148,2041
26968,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,11,0,18,1313,13,327,165,1836
26969,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,12,0,20,1668,15,345,237,2285
26970,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,13,0,12,1814,21,420,212,2479
26971,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,14,0,10,1650,12,315,144,2131
26972,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,15,0,15,2322,18,381,156,2892
26973,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,16,0,28,2438,22,430,115,3033
26974,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,17,0,60,2037,9,373,56,2535
26975,London,E09000030,Tower Hamlets,6071,51.51822846,-0.009865919,A12,PU,S,2013,18/03/2013,18,0,44,2247,5,248,43,2587
27192,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,7,27,23,698,10,138,92,961
27193,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,8,14,28,782,16,118,109,1053
27194,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,9,8,21,667,14,152,111,965
27195,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,10,8,14,634,16,168,151,983
27196,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,11,14,53,729,16,184,152,1134
27197,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,12,10,47,783,14,152,145,1141
27198,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,13,16,65,835,16,195,118,1229
27199,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,14,21,76,940,17,204,133,1370
27200,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,15,29,115,1034,20,196,105,1470
27201,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,16,35,184,1208,22,211,80,1705
27202,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,17,49,287,1274,15,168,61,1805
27203,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,E,2013,24/04/2013,18,76,269,986,18,142,57,1472
27204,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,7,115,315,1103,77,489,170,2154
27205,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,8,72,389,1325,50,414,149,2327
27206,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,9,25,105,1156,39,406,133,1839
27207,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,10,7,97,1084,35,390,144,1750
27208,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,11,6,48,865,23,273,87,1296
27209,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,12,10,41,833,25,232,99,1230
27210,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,13,5,32,839,22,267,119,1279
27211,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,14,9,48,811,18,215,93,1185
27212,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,15,11,37,823,23,188,50,1121
27213,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,16,10,42,797,20,165,28,1052
27214,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,17,13,63,770,27,166,16,1042
27215,London,E09000030,Tower Hamlets,6216,51.51130434,-0.00987947,A13,PU,W,2013,24/04/2013,18,5,45,753,19,144,15,976
29088,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,7,16,9,219,26,63,24,341
29089,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,8,9,8,192,24,56,30,310
29090,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,9,28,14,229,27,49,41,360
29091,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,10,16,10,213,24,55,39,341
29092,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,11,13,8,226,26,69,37,366
29093,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,12,23,5,239,29,78,40,391
29094,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,13,31,14,230,23,66,28,361
29095,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,14,42,23,217,22,81,42,385
29096,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,15,63,19,253,26,87,40,425
29097,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,16,144,37,286,25,93,34,475
29098,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,17,162,42,294,30,112,24,502
29099,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,E,2013,15/03/2013,18,119,29,270,24,97,9,429
29100,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,7,64,41,310,32,192,69,644
29101,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,8,201,35,269,30,180,55,569
29102,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,9,191,46,263,26,161,50,546
29103,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,10,121,26,239,28,117,36,446
29104,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,11,76,26,219,26,139,32,442
29105,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,12,54,17,228,24,142,30,441
29106,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,13,41,13,237,25,133,22,430
29107,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,14,34,10,246,23,121,28,428
29108,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,15,30,13,220,27,106,32,398
29109,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,16,26,12,255,29,79,35,410
29110,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,17,35,16,268,32,88,24,428
29111,London,E09000030,Tower Hamlets,17498,51.53091681,-0.069579037,A1208,PU,W,2013,15/03/2013,18,29,14,231,28,65,13,351
29448,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,7,141,85,604,38,275,70,1072
29449,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,8,224,160,672,42,213,60,1147
29450,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,9,196,55,530,30,260,85,960
29451,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,10,40,49,313,43,301,76,782
29452,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,11,36,48,460,34,262,49,853
29453,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,12,30,44,648,28,266,42,1028
29454,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,13,46,51,610,24,228,67,980
29455,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,14,43,46,679,33,254,87,1099
29456,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,15,57,51,716,41,270,80,1158
29457,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,16,71,63,643,37,246,64,1053
29458,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,17,92,42,691,31,230,49,1043
29459,London,E09000030,Tower Hamlets,18436,51.51272193,-0.073230738,A1210,PU,N,2013,24/10/2013,18,79,21,490,29,153,43,736
29556,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,7,96,104,508,32,127,175,946
29557,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,8,74,85,641,43,169,195,1133
29558,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,9,48,63,712,35,140,185,1135
29559,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,10,27,32,766,28,284,156,1266
29560,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,11,18,39,813,19,331,206,1408
29561,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,12,33,46,987,36,258,211,1538
29562,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,13,35,58,710,31,312,208,1319
29563,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,14,42,39,725,30,351,205,1350
29564,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,15,48,60,677,27,357,177,1298
29565,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,16,92,116,694,48,372,143,1373
29566,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,17,160,292,841,74,205,79,1491
29567,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,E,2013,22/04/2013,18,194,205,967,49,158,80,1459
29568,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,7,153,94,947,43,304,159,1547
29569,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,8,128,107,1106,65,263,209,1750
29570,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,9,164,131,875,58,284,256,1604
29571,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,10,87,68,966,75,305,260,1674
29572,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,11,41,76,721,54,291,156,1298
29573,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,12,23,48,634,69,185,133,1069
29574,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,13,39,27,667,58,149,155,1056
29575,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,14,22,34,524,69,107,125,859
29576,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,15,28,39,647,64,119,75,944
29577,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,16,46,71,603,56,86,43,859
29578,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,17,85,96,841,44,62,40,1083
29579,London,E09000030,Tower Hamlets,18467,51.50961595,-0.075754014,A3211,PU,W,2013,22/04/2013,18,183,115,687,41,49,54,946
31080,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,7,0,172,2345,19,591,209,3336
31081,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,8,0,161,2406,17,754,214,3552
31082,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,9,0,83,1943,33,712,175,2946
31083,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,10,0,44,1714,26,693,211,2688
31084,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,11,0,38,1683,18,680,221,2640
31085,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,12,0,29,1592,15,602,190,2428
31086,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,13,0,28,1578,26,576,199,2407
31087,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,14,0,20,1615,17,540,157,2349
31088,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,15,0,41,1547,23,601,127,2339
31089,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,16,0,61,1698,19,665,117,2560
31090,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,17,0,105,1814,13,575,74,2581
31091,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,E,2013,07/10/2013,18,0,96,1776,10,415,43,2340
31092,London,E09000030,Tower Hamlets,27917,51.53164548,-0.018364196,A12,PU,W,2013,07/10/2013,7,0,47,1891,10,461,142,2551
