,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
11856,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,7,0,64,2798,14,890,317,4083
11857,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,8,0,47,2021,27,514,218,2827
11858,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,9,0,27,1548,22,429,269,2295
11859,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,10,0,21,1405,18,447,290,2181
11860,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,11,0,14,1147,10,309,237,1717
11861,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,12,0,19,1333,22,425,257,2056
11862,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,13,0,15,1189,9,309,241,1763
11863,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,14,0,11,1320,7,260,173,1771
11864,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,15,0,15,1512,4,185,202,1918
11865,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,16,0,34,2368,13,457,171,3043
11866,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,17,0,17,2532,19,414,100,3082
11867,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,N,2011,29/03/2011,18,0,11,2106,6,184,67,2374
11868,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,7,0,14,2054,3,516,316,2903
11869,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,8,0,26,1201,9,352,273,1861
11870,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,9,0,26,2632,12,363,271,3304
11871,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,10,0,38,1837,12,409,269,2565
11872,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,11,0,19,1139,8,332,275,1773
11873,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,12,0,19,1348,7,626,342,2342
11874,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,13,0,16,1454,2,558,270,2300
11875,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,14,0,18,1609,19,582,277,2505
11876,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,15,0,25,1601,11,620,228,2485
11877,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,16,0,21,2297,8,690,195,3211
11878,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,17,0,28,2986,13,660,141,3828
11879,London,E09000031,Waltham Forest,7058,51.60571647,-0.025249618,A406,PU,S,2011,29/03/2011,18,0,32,2510,15,495,89,3141
14124,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,7,9,12,1446,18,214,104,1794
14125,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,8,10,18,1816,17,210,155,2216
14126,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,9,13,23,1751,15,237,94,2120
14127,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,10,0,11,1388,9,201,118,1727
14128,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,11,1,7,1245,11,185,84,1532
14129,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,12,2,19,1381,13,258,95,1766
14130,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,13,2,19,1577,12,213,70,1891
14131,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,14,0,12,1487,10,209,64,1782
14132,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,15,0,14,1512,13,246,81,1866
14133,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,16,3,6,1983,21,315,90,2415
14134,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,17,6,46,1812,17,257,70,2202
14135,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,N,2011,21/06/2011,18,5,51,1791,15,276,59,2192
14136,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,7,15,19,1440,10,237,67,1773
14137,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,8,18,17,1303,12,209,46,1587
14138,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,9,13,22,1227,17,228,54,1548
14139,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,10,1,8,935,11,182,60,1196
14140,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,11,5,3,1110,13,171,80,1377
14141,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,12,0,9,1065,16,166,65,1321
14142,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,13,2,11,839,12,175,57,1094
14143,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,14,2,12,903,9,152,54,1130
14144,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,15,0,9,1083,13,131,53,1289
14145,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,16,5,13,1221,20,122,38,1414
14146,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,17,7,15,1273,15,114,33,1450
14147,London,E09000031,Waltham Forest,26645,51.59459058,0.010362864,A104,PU,S,2011,21/06/2011,18,5,13,1305,17,108,36,1479
15852,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,7,0,63,2394,14,548,206,3225
15853,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,8,0,52,2446,12,349,186,3045
15854,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,9,0,29,2025,14,456,236,2760
15855,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,10,0,21,2964,14,661,382,4042
15856,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,11,0,9,1496,13,409,285,2212
15857,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,12,0,14,1235,10,386,212,1857
15858,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,13,0,35,2218,21,621,390,3285
15859,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,14,0,23,1688,23,723,374,2831
15860,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,15,0,36,1853,28,408,261,2586
15861,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,16,0,32,1667,21,417,242,2379
15862,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,17,0,56,2470,5,497,74,3102
15863,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,E,2011,16/05/2011,18,0,37,2249,13,437,60,2796
15864,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,7,0,68,4529,16,907,293,5813
15865,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,8,0,60,3520,21,849,262,4712
15866,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,9,0,129,2505,20,645,281,3580
15867,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,10,0,22,2991,20,560,232,3825
15868,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,11,0,19,2651,13,550,258,3491
15869,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,12,0,22,2143,13,482,235,2895
15870,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,13,0,18,3226,9,622,337,4212
15871,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,14,0,13,2587,26,622,227,3475
15872,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,15,0,17,2854,21,697,186,3775
15873,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,16,0,45,2612,17,427,134,3235
15874,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,17,0,59,4153,41,557,62,4872
15875,London,E09000031,Waltham Forest,37116,51.59773215,0.005447927,A406,PU,W,2011,16/05/2011,18,0,41,3413,29,348,36,3867
18024,London,E09000031,Waltham Forest,56628,51.59164998,0.00878931,A104,PU,N,2011,07/09/2011,7,8,3,437,8,84,28,560
18025,London,E09000031,Waltham Forest,56628,51.59164998,0.00878931,A104,PU,N,2011,07/09/2011,8,5,2,624,6,88,28,748
