borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Waltham Forest,0,39,2765,19,738,344,A406,PU,N,2015,23/09/2015,51.605716469999997,-0.025249617999999998
Waltham Forest,3,4,291,13,40,7,A112,PU,N,2015,08/06/2015,51.619071269999999,-0.017302544999999999
Waltham Forest,12,20,1118,15,225,60,A104,PU,N,2015,28/04/2015,51.594590580000002,0.010362863999999999
Waltham Forest,13,5,267,44,43,10,A112,PU,N,2015,29/06/2015,51.573985450000002,-0.010029028000000001
Waltham Forest,0,43,2987,10,676,318,A406,PU,E,2015,09/10/2015,51.597732149999999,0.0054479269999999991
Waltham Forest,0,83,1944,17,613,193,A12,PU,E,2015,09/06/2015,51.558232390000001,-0.0037920370000000003
Waltham Forest,48,17,441,10,140,49,A106,PU,E,2015,03/07/2015,51.556111620000003,-0.015540978
Waltham Forest,10,5,130,6,26,8,A106,PU,E,2015,01/10/2015,51.5580766,-0.0078526969999999988
Waltham Forest,28,12,319,14,49,11,A106,PU,W,2015,24/04/2015,51.557312549999999,-0.0078716589999999996
Waltham Forest,13,4,110,6,19,5,A106,PU,S,2015,01/06/2015,51.558611450000001,-0.004929569
Waltham Forest,17,6,174,10,29,9,A106,PU,W,2015,08/05/2015,51.559381049999999,-0.0047083369999999999
Waltham Forest,7,2,226,12,31,8,A106,PU,E,2015,29/04/2015,51.566551320000002,0.0040755000000000001
Waltham Forest,25,9,481,29,80,23,A11,PU,E,2015,17/09/2015,51.570422110000003,0.014347026000000001
