,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
19728,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,7,50,140,800,20,260,52,1272
19729,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,8,29,148,768,32,186,53,1187
19730,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,9,26,56,586,30,182,64,918
19731,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,10,14,32,534,24,156,96,842
19732,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,11,16,25,388,18,149,126,706
19733,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,12,19,21,403,22,141,118,705
19734,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,13,22,28,607,34,129,77,875
19735,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,14,16,32,591,30,140,66,859
19736,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,15,20,44,689,33,198,59,1023
19737,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,16,23,38,702,37,241,60,1078
19738,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,17,31,42,786,34,175,19,1056
19739,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,E,2012,20/04/2012,18,19,29,807,28,155,23,1042
19740,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,7,26,24,680,34,202,70,1010
19741,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,8,45,40,878,25,126,73,1142
19742,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,9,34,46,786,22,138,66,1058
19743,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,10,54,100,904,30,342,83,1459
19744,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,11,38,67,985,32,371,85,1540
19745,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,12,21,43,920,26,288,60,1337
19746,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,13,12,37,875,29,241,61,1243
19747,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,14,10,32,802,31,236,54,1155
19748,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,15,14,24,892,28,171,66,1181
19749,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,16,11,98,741,26,154,40,1059
19750,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,17,32,151,996,32,180,24,1383
19751,London,E09000032,Wandsworth,6111,51.45658934,-0.202264204,A3,PU,W,2012,20/04/2012,18,39,192,944,18,132,18,1304
20268,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,7,12,7,308,42,93,20,470
20269,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,8,19,9,318,46,87,22,482
20270,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,9,11,10,329,40,99,24,502
20271,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,10,9,6,291,51,89,22,459
20272,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,11,11,7,276,39,116,22,460
20273,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,12,6,6,288,38,105,18,455
20274,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,13,5,8,231,31,84,28,382
20275,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,14,6,4,262,35,92,23,416
20276,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,15,8,6,271,39,87,20,423
20277,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,16,13,15,278,34,61,18,406
20278,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,17,18,15,321,25,44,10,415
20279,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,E,2012,01/10/2012,18,14,18,342,36,51,0,447
20280,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,W,2012,01/10/2012,7,57,16,381,46,92,20,555
20281,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,W,2012,01/10/2012,8,46,13,392,42,97,15,559
20282,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,W,2012,01/10/2012,9,29,10,401,40,101,17,569
20283,London,E09000032,Wandsworth,7571,51.46490652,-0.158747199,A3036,PU,W,2012,01/10/2012,10,20,6,357,45,114,17,539
