borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Westminster,121,42,482,74,119,26,A4,PU,E,2012,16/10/2012,51.513543299999995,-0.11268555699999999
Westminster,80,132,711,83,213,44,A4,PU,E,2012,27/06/2012,51.506221330000002,-0.14411338099999998
Westminster,30,38,544,87,176,42,A5,PU,N,2012,24/10/2012,51.515705179999998,-0.163905825
Westminster,22,37,271,49,71,33,A315,PU,E,2012,14/05/2012,51.501977930000002,-0.17166182899999999
Westminster,52,45,589,155,264,43,A302,PU,N,2012,24/09/2012,51.49981914,-0.14869580599999999
Westminster,107,109,1222,225,394,86,A3217,PU,E,2012,16/03/2012,51.49822313,-0.14443829399999999
Westminster,46,32,227,98,81,23,A4201,PU,N,2012,26/06/2012,51.513185350000001,-0.14094795500000001
Westminster,27,127,1710,178,375,112,A4202,PU,N,2012,09/07/2012,51.509299299999995,-0.155675441
Westminster,70,22,338,21,53,18,A3214,PU,N,2012,21/09/2012,51.498836249999997,-0.14340486899999999
Westminster,83,122,1345,66,276,103,A501,PU,E,2012,29/03/2012,51.524037819999997,-0.14483062099999999
Westminster,40,113,1289,49,351,125,A501,PU,E,2012,26/04/2012,51.521254450000001,-0.16224118600000001
Westminster,61,93,1199,84,322,115,A501,PU,E,2012,24/10/2012,51.522458120000003,-0.156426763
Westminster,87,50,319,104,100,28,A3212,PU,N,2012,16/05/2012,51.503958040000001,-0.126193947
Westminster,27,36,635,72,173,70,A5,PU,N,2012,03/07/2012,51.513862690000003,-0.16109747399999999
Westminster,21,31,391,44,160,33,A5,PU,N,2012,08/05/2012,51.522692600000006,-0.17371526399999998
Westminster,131,141,865,45,270,70,A3211,PU,E,2012,21/06/2012,51.510861239999997,-0.11366108400000001
Westminster,161,107,769,71,159,47,A302,PU,E,2012,22/03/2012,51.500971960000001,-0.12503410199999998
Westminster,79,37,299,78,73,9,A302,PU,E,2012,17/09/2012,51.50096345,-0.12281559
Westminster,10,6,134,15,45,11,A3213,PU,E,2012,12/06/2012,51.490672879999998,-0.13898290800000002
Westminster,104,56,816,75,259,60,A202,PU,E,2012,26/04/2012,51.487793539999998,-0.127576937
Westminster,63,125,1400,95,365,158,A501,PU,E,2012,24/09/2012,51.52190521,-0.15843832699999999
Westminster,124,65,382,100,136,50,A4200,PU,N,2012,12/07/2012,51.514076639999999,-0.11789519400000001
