,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
36720,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,7,90,89,516,72,274,59,1010
36721,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,8,156,168,570,76,213,63,1090
36722,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,9,110,128,522,80,242,50,1022
36723,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,10,32,57,421,109,159,65,811
36724,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,11,37,69,445,76,156,31,777
36725,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,12,32,64,644,71,182,48,1009
36726,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,13,23,43,590,106,147,47,933
36727,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,14,32,66,584,73,187,29,939
36728,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,15,52,74,554,89,140,21,878
36729,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,16,49,47,602,82,129,11,871
36730,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,17,47,73,687,55,56,17,888
36731,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,E,2014,12/09/2014,18,76,56,811,84,73,8,1032
36732,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,W,2014,12/09/2014,7,52,33,398,70,177,84,762
36733,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,W,2014,12/09/2014,8,43,25,508,78,168,109,888
36734,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,W,2014,12/09/2014,9,57,38,490,92,251,103,974
36735,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,W,2014,12/09/2014,10,48,59,543,100,252,87,1041
36736,London,E09000033,Westminster,6120,51.50622133,-0.144113381,A4,PU,W,2014,12/09/2014,11,33,68,594,96,285,85,1128
