,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
17808,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,7,39,8,405,13.0,62,31.0,519.0
17809,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,8,24,12,432,16.0,71,29.0,560.0
17810,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,9,9,7,381,12.0,56,20.0,476.0
17811,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,10,12,8,334,12.0,44,23.0,421.0
17812,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,11,9,6,309,8.0,38,17.0,378.0
17813,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,12,6,5,320,9.0,55,21.0,410.0
17814,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,13,4,3,286,7.0,64,21.0,381.0
17815,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,14,3,4,271,8.0,50,21.0,354.0
17816,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,15,13,1,384,12.0,69,21.0,487.0
17817,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,16,39,9,462,17.0,81,11.0,580.0
17818,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,17,52,16,371,19.0,97,5.0,508.0
17819,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,E,2012,2012-10-16,18,19,11,311,10.0,62,6.0,400.0
17820,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,7,65,15,471,19.0,93,25.0,623.0
17821,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,8,41,8,497,17.0,108,39.0,669.0
17822,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,9,19,6,410,14.0,87,28.0,545.0
17823,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,10,10,4,379,16.0,64,27.0,490.0
17824,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,11,7,6,333,12.0,53,30.0,434.0
17825,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,12,5,4,354,9.0,67,23.0,457.0
17826,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,13,4,5,328,8.0,50,23.0,414.0
17827,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,14,6,3,281,11.0,43,28.0,366.0
17828,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,15,19,10,314,14.0,66,17.0,421.0
17829,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,16,32,8,385,17.0,74,13.0,497.0
17830,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,17,46,14,315,15.0,51,0.0,395.0
17831,London,E09000024,Merton,942796,51.412057518,-0.224632516,B235,BU,W,2012,2012-10-16,18,11,9,261,9.0,32,0.0,311.0
17832,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,7,11,5,276,13.0,68,8.0,370.0
17833,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,8,8,3,248,9.0,47,10.0,317.0
17834,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,9,6,5,173,14.0,52,16.0,260.0
17835,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,10,0,6,109,8.0,46,11.0,180.0
17836,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,11,0,3,94,4.0,33,15.0,149.0
17837,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,12,2,4,91,7.0,39,12.0,153.0
17838,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,13,4,9,128,8.0,32,18.0,195.0
17839,London,E09000024,Merton,942797,51.383314792,-0.223876771,C,CU,N,2012,2012-10-18,14,5,7,103,9.0,36,8.0,163.0
